feature_names,values,is_pred,model_name,std
Age9_4.0,-16.268034451382977,True,exp,0.0
Age9_4.0,-16.268034451382977,True,exp,0.0
Age9_4.0,-16.268034451382977,True,exp,0.0
Age9_4.0,-12.04443353799901,False,holt,0.0
Age9_4.0,1.3272186149631215,False,holt,0.0
Age9_4.0,10.553129161059015,False,holt,0.0
Age9_4.0,13.15482226473128,False,holt,0.0
Age9_4.0,-1.846334465394328,False,holt,0.0
Age9_4.0,-16.300700612704468,False,holt,0.0
Age9_4.0,-16.268034450896216,False,holt,0.0
Age9_4.0,-19.296464183612493,True,holt,0.0
Age9_4.0,-21.71920787992183,True,holt,0.0
Age9_4.0,-23.657402836969297,True,holt,0.0
Age9_4.0,-25.207958802607273,True,holt,0.0
Age9_4.0,-26.448403575117652,True,holt,0.0
Age9_4.0,-27.440759393125955,True,holt,0.0
Age9_4.0,-28.234644047532598,True,holt,0.0
Age9_5.0,-8.279599707833052,False,bayesian_ridge,0.0
Age9_5.0,3.983973948463926,False,bayesian_ridge,0.0
Age9_5.0,14.476504464415552,False,bayesian_ridge,0.0
Age9_5.0,21.750435963992555,False,bayesian_ridge,0.0
Age9_5.0,13.224639935594617,False,bayesian_ridge,0.0
Age9_5.0,-3.5238654998425933,False,bayesian_ridge,0.0
Age9_5.0,-16.62955908671432,False,bayesian_ridge,0.0
Age9_5.0,3.5674082427047717,True,bayesian_ridge,12.773496188187227
Age9_5.0,3.5663128027353688,True,bayesian_ridge,12.775019425549338
Age9_5.0,3.5652173627659662,True,bayesian_ridge,12.776880913488885
Age9_5.0,3.5641219227965633,True,bayesian_ridge,12.779080504190215
Age9_5.0,3.5630264828271603,True,bayesian_ridge,12.781618023100858
Age9_5.0,3.5619310428577577,True,bayesian_ridge,12.784493269000661
Age9_5.0,3.5608356028883548,True,bayesian_ridge,12.787706014081415
Age9_5.0,-8.279599707833052,False,simple_exp,0.0
Age9_5.0,3.983973948463926,False,simple_exp,0.0
Age9_5.0,14.476504464415552,False,simple_exp,0.0
Age9_5.0,21.750435963992555,False,simple_exp,0.0
Age9_5.0,13.224639935594617,False,simple_exp,0.0
Age9_5.0,-3.5238654998425933,False,simple_exp,0.0
Age9_5.0,-16.62955908671432,False,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-16.629558891424264,True,simple_exp,0.0
Age9_5.0,-8.279599707833052,False,exp,0.0
Age9_5.0,3.983973948463926,False,exp,0.0
Age9_5.0,14.476504464415552,False,exp,0.0
Age9_5.0,21.750435963992555,False,exp,0.0
Age9_5.0,13.224639935594617,False,exp,0.0
Age9_5.0,-3.5238654998425933,False,exp,0.0
Age9_5.0,-16.62955908671432,False,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-16.629558891424264,True,exp,0.0
Age9_5.0,-8.279599707833052,False,holt,0.0
Age9_5.0,3.983973948463926,False,holt,0.0
Age9_5.0,14.476504464415552,False,holt,0.0
Age9_5.0,21.750435963992555,False,holt,0.0
Age9_5.0,13.224639935594617,False,holt,0.0
Age9_5.0,-3.5238654998425933,False,holt,0.0
Age9_5.0,-16.62955908671432,False,holt,0.0
Age9_5.0,-27.114114085917116,True,holt,0.0
Age9_5.0,-35.5017580817852,True,holt,0.0
Age9_5.0,-42.21187327847967,True,holt,0.0
Age9_5.0,-47.57996543583525,True,holt,0.0
Age9_5.0,-51.87443916171971,True,holt,0.0
Age9_5.0,-55.310018142427275,True,holt,0.0
Age9_5.0,-58.05848132699333,True,holt,0.0
Age9_6.0,-22.47729366244391,False,bayesian_ridge,0.0
Age9_6.0,-17.47882417110501,False,bayesian_ridge,0.0
Age9_6.0,-7.756888207433443,False,bayesian_ridge,0.0
Age9_6.0,10.456130695458745,False,bayesian_ridge,0.0
Age9_6.0,18.23201124402405,False,bayesian_ridge,0.0
Age9_6.0,-19.05017630466206,False,bayesian_ridge,0.0
Age9_6.0,-28.176028168574184,False,bayesian_ridge,0.0
Age9_6.0,-9.464086494174046,True,bayesian_ridge,16.226050561842197
Age9_6.0,-9.463998525762706,True,bayesian_ridge,16.227167331569582
Age9_6.0,-9.463910557351369,True,bayesian_ridge,16.2285321679823
Age9_6.0,-9.46382258894003,True,bayesian_ridge,16.230145008498575
Age9_6.0,-9.46373462052869,True,bayesian_ridge,16.232005779192043
Age9_6.0,-9.463646652117353,True,bayesian_ridge,16.23411439480867
Age9_6.0,-9.463558683706013,True,bayesian_ridge,16.236470758786286
Age9_6.0,-22.47729366244391,False,simple_exp,0.0
Age9_6.0,-17.47882417110501,False,simple_exp,0.0
Age9_6.0,-7.756888207433443,False,simple_exp,0.0
Age9_6.0,10.456130695458745,False,simple_exp,0.0
Age9_6.0,18.23201124402405,False,simple_exp,0.0
Age9_6.0,-19.05017630466206,False,simple_exp,0.0
Age9_6.0,-28.176028168574184,False,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-28.176028032588384,True,simple_exp,0.0
Age9_6.0,-22.47729366244391,False,exp,0.0
Age9_6.0,-17.47882417110501,False,exp,0.0
Age9_6.0,-7.756888207433443,False,exp,0.0
Age9_6.0,10.456130695458745,False,exp,0.0
Age9_6.0,18.23201124402405,False,exp,0.0
Age9_6.0,-19.05017630466206,False,exp,0.0
Age9_6.0,-28.176028168574184,False,exp,0.0
Age9_6.0,-28.176028032588384,True,exp,0.0
