feature_names,coef,coef_as_percent,pvalues,confidence_lower,confidence_upper,std_error,rsquared,adj_rsquared,year
const,6.418439941435176,61204.598009522386,0.0,6.1006125785761975,6.736267304294155,0.1621455913570338,0.16728456568962602,0.1645120620722058,2016/17
Disab2_POP,0.3302214991003001,39.12762607770364,1.7985996396492701e-06,0.1947192199154088,0.46572377828519135,0.06912902964370861,0.16728456568962602,0.1645120620722058,2016/17
Educ6,-0.14355624303892978,-13.372792295706414,9.689730069530167e-18,-0.17631727421767202,-0.11079521186018754,0.01671365462734044,0.16728456568962602,0.1645120620722058,2016/17
NSSEC5,-0.22780284201325712,-20.37187624340818,1.597710321844557e-12,-0.2909403982337827,-0.16466528579273154,0.032210808717427805,0.16728456568962602,0.1645120620722058,2016/17
Motiva_POP,-0.703234446311894,-50.50182799621907,1.227194466172836e-245,-0.7435832750419357,-0.6628856175818524,0.02058471188932575,0.16728456568962602,0.1645120620722058,2016/17
motivd_POP,-0.017167267335152944,-1.7020749436683857,0.41585680613025183,-0.058524089899745446,0.024189555229439556,0.021098958853203485,0.16728456568962602,0.1645120620722058,2016/17
Gend3_1,-0.05298370453272038,-5.160453309632162,0.20606752673906026,-0.13511437904020243,0.029146969974761662,0.041900504307669034,0.16728456568962602,0.1645120620722058,2016/17
Age9_1,-0.24536615442920373,-21.758200002973695,0.022531468245600702,-0.45616688280278905,-0.03456542605561841,0.10754394603775638,0.16728456568962602,0.1645120620722058,2016/17
Age9_2,-0.20040967838928156,-18.160459452117195,0.07544962059509054,-0.4213670174740433,0.020547660695480197,0.1127255315221931,0.16728456568962602,0.1645120620722058,2016/17
Age9_3,-0.13479297941330695,-12.610319240738278,0.24112480560645136,-0.36018599657719413,0.09060003775058023,0.11498847590413527,0.16728456568962602,0.1645120620722058,2016/17
Age9_4,-0.3025021472012923,-26.103309845344526,0.011941089993683112,-0.5383394250723343,-0.06666486933025031,0.12031681143011091,0.16728456568962602,0.1645120620722058,2016/17
Age9_5,-0.6765375444913094,-49.16258285166491,7.784350251804975e-07,-0.9448186166038249,-0.4082564723787939,0.1368686216827851,0.16728456568962602,0.1645120620722058,2016/17
Age9_6,-0.6223421073607446,-46.33140117452913,0.0016504975370371714,-1.0099173966024115,-0.23476681811907774,0.19772880441809984,0.16728456568962602,0.1645120620722058,2016/17
Age9_7,-1.6188649824391113,-80.18765548964365,1.6248684988928946e-09,-2.1446166283494144,-1.0931133365288082,0.26822206485375805,0.16728456568962602,0.1645120620722058,2016/17
Eth7_1,-0.3951894822931057,-32.64475990968037,4.137780655369497e-12,-0.5068302061829555,-0.28354875840325594,0.05695560958569499,0.16728456568962602,0.1645120620722058,2016/17
Eth7_2,-0.9974560528623974,-63.118350157050216,3.677371274054315e-52,-1.1255663770619404,-0.8693457286628543,0.06535788514059772,0.16728456568962602,0.1645120620722058,2016/17
Eth7_3,-0.8702850484925241,-58.11678552410715,8.385683634934066e-24,-1.0395589093482576,-0.7010111876367906,0.08635823556173639,0.16728456568962602,0.1645120620722058,2016/17
Eth7_4,-1.093017370228439,-66.47964669245184,1.5801627877786762e-14,-1.371649591748272,-0.8143851487086058,0.1421494547324531,0.16728456568962602,0.1645120620722058,2016/17
Eth7_5,-0.01696187081582962,-1.681882818379965,0.88485339064829,-0.24653700253996888,0.21261326090830965,0.1171220601002695,0.16728456568962602,0.1645120620722058,2016/17
Eth7_6,-0.5879312758907145,-44.45247780738503,3.127281303041382e-06,-0.8350102660529559,-0.340852285728473,0.12605198184125943,0.16728456568962602,0.1645120620722058,2016/17
IMD10_1,0.08372570483469263,8.733060337328812,0.2643296487929227,-0.06329517690590217,0.23074658657528743,0.0750054608175402,0.16728456568962602,0.1645120620722058,2016/17
IMD10_2,0.16218641930583721,17.607946480405822,0.041974488690797104,0.0058868489921583,0.31848598961951613,0.07973915785409154,0.16728456568962602,0.1645120620722058,2016/17
IMD10_3,0.015732959117155124,1.5857373732126812,0.8510811616496214,-0.148527729317808,0.17999364755211822,0.08380067160805861,0.16728456568962602,0.1645120620722058,2016/17
IMD10_4,0.229856850482955,25.841985484076837,0.008996129339947059,0.057401973405426215,0.40231172756048383,0.08798109066067941,0.16728456568962602,0.1645120620722058,2016/17
IMD10_5,0.30950577775436355,36.27514455952152,0.0005225996211401949,0.1346576228261501,0.484353932682577,0.08920206625224023,0.16728456568962602,0.1645120620722058,2016/17
IMD10_6,0.10555135033097705,11.132316987027258,0.26521962338899546,-0.0801405669577308,0.2912432676196849,0.09473421504100786,0.16728456568962602,0.1645120620722058,2016/17
IMD10_7,0.1178200669683031,12.504166099728554,0.2370045573645168,-0.07747119271813732,0.3131113266547435,0.09963149964142036,0.16728456568962602,0.1645120620722058,2016/17
IMD10_8,0.15075172705012893,16.270795331110357,0.12296220608096972,-0.04080983984099737,0.3423132939412552,0.09772872689575023,0.16728456568962602,0.1645120620722058,2016/17
IMD10_9,0.29019135971476834,33.668325087896214,0.026133280632571636,0.03448291206710713,0.5458998073624295,0.1304544614593677,0.16728456568962602,0.1645120620722058,2016/17
Child4_1,-0.2586070373804416,-22.787361975921005,0.010315122370673778,-0.45619730185624785,-0.061016772904635364,0.10080438006225995,0.16728456568962602,0.1645120620722058,2016/17
Child4_2,-0.09131462182350901,-8.726949921417937,0.409611385256072,-0.30837556010027634,0.1257463164532583,0.11073770955654123,0.16728456568962602,0.1645120620722058,2016/17
Child4_3,-0.12210252544344834,-11.494237707442645,0.37271339247098506,-0.3905893262098604,0.14638427532296372,0.13697357801488025,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_1,0.09551179925788734,10.022180375814372,0.12650684715187352,-0.027002587088922447,0.21802618560469714,0.06250301246957715,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_2,0.10979794445428366,11.605254306947078,0.3234571449104206,-0.10816425648026569,0.327760145388833,0.11119750560839635,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_3,0.10714367314032211,11.309416472576729,0.23096439401998334,-0.06817203612517178,0.28245938240581603,0.08944059786836014,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_4,0.190096158953958,20.936588342450555,0.06912717253558721,-0.014892712190455681,0.3950850300983717,0.10457891804636592,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_5,-0.9851610171968953,-62.66208983601379,4.415068846621405e-09,-1.3140403111028336,-0.6562817232909571,0.16778394130628438,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_6,0.6656681735961818,94.5790212722593,5.204804623439345e-07,0.4057988022390509,0.9255375449533128,0.1325772347454514,0.16728456568962602,0.1645120620722058,2016/17
WorkStat8_7,0.3148656682452027,37.00752539818535,0.008828493720492724,0.079210815461767,0.5505205210286384,0.12022374384951556,0.16728456568962602,0.1645120620722058,2016/17
HHLiv9_1,0.1916740621533184,21.127565203992084,0.046290653544927354,0.003152412640234581,0.3801957116664022,0.09617785601885241,0.16728456568962602,0.1645120620722058,2016/17
HHLiv9_2,-0.17462603343717298,-16.022899166732895,0.10106708454216148,-0.38336385167681286,0.034111784802466905,0.10649151373433191,0.16728456568962602,0.1645120620722058,2016/17
HHLiv9_3,-0.06199460018017668,-6.0112037996964744,0.29266833125271274,-0.17747004140488645,0.05348084104453308,0.05891196257039326,0.16728456568962602,0.1645120620722058,2016/17
HHLiv9_4,-0.2847892308692738,-24.782722758516705,0.01313011073406032,-0.5098310250352001,-0.05974743670334759,0.11480929290305479,0.16728456568962602,0.1645120620722058,2016/17
HHLiv9_5,-0.12218651014584601,-11.50167052542339,0.18149695610445554,-0.30142406837601043,0.05705104808431839,0.09144140268852796,0.16728456568962602,0.1645120620722058,2016/17
