LCA_Class,t,MEMS_actual,MEMS_sarima,period
1,36,,539.3315317428176,forecast
1,37,,657.6417340100671,forecast
1,38,,742.2442600048764,forecast
1,39,,535.4176879869647,forecast
1,40,,543.4348849962477,forecast
1,41,,661.7147943640238,forecast
1,42,,746.3246930737542,forecast
1,43,,539.4912930015244,forecast
2,0,658.2345679012345,,train
2,1,771.2603092783505,,train
2,2,663.868501529052,,train
2,3,688.559375,,train
2,4,790.2399598393574,,train
2,5,784.0450680272108,,train
2,6,848.1129032258065,,train
2,7,720.925,,train
2,8,639.2954545454545,,train
2,9,800.301724137931,,train
