Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
0,7.9%,"35–44 (51%), 45–54 (34%), 25–34 (10%)","Male (86%), Female (14%), Other (0%)","White British (53%), Asian (excl. Chinese) (20%), White Other (17%)","No disability (97%), Disability (3%)","Level 4 or above (92%), Level 3 and equivalents (5%), Level 2 and equivalents (3%)","NS SEC 1–2: Higher social groups (93%), NS SEC 3–5: Middle social groups (6%), NS SEC 9: Students and other / unclassified (1%)","Fifth most deprived decile (12%), Second least deprived decile (12%), Fourth most deprived decile (12%)","Working full time (93%), Working part time (3%), Not working-looking after house/children (1%)","2 children (48%), 1 child (43%), 3 or more children (9%)","Couple with children (93%), Lone parent family (3%), Other/complex household (2%)","Strongly agree (51%), Agree (37%), Neither agree nor disagree (8%)","Disagree (43%), Strongly disagree (31%), Neither agree nor disagree (17%)"
1,1.6%,"65–74 (85%), 55–64 (15%), 16–24 (0%)","Female (58%), Male (42%), Other (0%)","White British (59%), Asian (excl. Chinese) (19%), White Other (8%)","No disability (64%), Disability (36%)","No qualifications (42%), Level 2 and equivalents (18%), Level 4 or above (15%)","NS SEC 6–8: Lower social groups (38%), NS SEC 3–5: Middle social groups (38%), NS SEC 1–2: Higher social groups (14%)","Second most deprived decile (25%), Most deprived decile (15%), Third most deprived decile (15%)","Not working-retired (81%), Working part time (7%), Other (5%)","None (100%), 2 children (0%), 3 or more children (0%)","Single person living alone (37%), Couple, no children (30%), Couple with adult children (14%)","Agree (40%), Neither agree nor disagree (25%), Strongly agree (19%)","Disagree (38%), Neither agree nor disagree (28%), Strongly disagree (24%)"
2,5.3%,"25–34 (63%), 35–44 (30%), 45–54 (5%)","Female (67%), Male (33%), Other (0%)","White British (50%), White Other (24%), Asian (excl. Chinese) (12%)","No disability (91%), Disability (9%)","Level 4 or above (94%), Level 3 and equivalents (4%), Level 2 and equivalents (1%)","NS SEC 1–2: Higher social groups (91%), NS SEC 3–5: Middle social groups (8%), NS SEC 6–8: Lower social groups (1%)","Third most deprived decile (18%), Second most deprived decile (16%), Fourth most deprived decile (14%)","Working full time (92%), Working part time (4%), Unemployed (2%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (65%), Single person living alone (29%), Houseshare (4%)","Agree (63%), Neither agree nor disagree (20%), Disagree (12%)","Disagree (50%), Neither agree nor disagree (18%), Agree (16%)"
3,4.2%,"25–34 (41%), 35–44 (39%), 45–54 (13%)","Female (57%), Male (42%), Other (1%)","White Other (54%), Black (14%), Asian (excl. Chinese) (14%)","No disability (92%), Disability (8%)","Level 4 or above (84%), Another type of qualification (6%), Level 3 and equivalents (6%)","NS SEC 1–2: Higher social groups (67%), NS SEC 3–5: Middle social groups (23%), NS SEC 6–8: Lower social groups (8%)","Second most deprived decile (27%), Third most deprived decile (20%), Fourth most deprived decile (14%)","Working full time (77%), Working part time (11%), Unemployed (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (38%), Single person living alone (35%), Houseshare (18%)","Strongly agree (44%), Agree (38%), Neither agree nor disagree (13%)","Strongly disagree (46%), Disagree (37%), Neither agree nor disagree (12%)"
4,3.6%,"35–44 (43%), 45–54 (29%), 25–34 (25%)","Female (90%), Male (10%), Other (0%)","White Other (30%), White British (23%), Black (20%)","No disability (93%), Disability (7%)","Level 4 or above (90%), Level 3 and equivalents (6%), Another type of qualification (2%)","NS SEC 1–2: Higher social groups (89%), NS SEC 3–5: Middle social groups (11%), NS SEC 6–8: Lower social groups (0%)","Second most deprived decile (23%), Third most deprived decile (16%), Fourth most deprived decile (14%)","Working full time (68%), Working part time (20%), Not working-looking after house/children (6%)","1 child (65%), 2 children (28%), 3 or more children (7%)","Couple with children (59%), Lone parent family (30%), Other/complex household (7%)","Agree (44%), Strongly agree (34%), Neither agree nor disagree (14%)","Strongly disagree (41%), Disagree (41%), Neither agree nor disagree (11%)"
5,1.9%,"16–24 (66%), 25–34 (30%), 35–44 (3%)","Female (63%), Male (36%), Other (1%)","White British (36%), White Other (22%), Asian (excl. Chinese) (13%)","No disability (88%), Disability (12%)","Level 4 or above (71%), Level 3 and equivalents (25%), Level 2 and equivalents (3%)","NS SEC 9: Students and other / unclassified (97%), NS SEC 6–8: Lower social groups (2%), NS SEC 3–5: Middle social groups (1%)","Third most deprived decile (19%), Second most deprived decile (19%), Fourth most deprived decile (13%)","Student (98%), Other (1%), Unemployed (1%)","None (100%), 3 or more children (0%), 2 children (0%)","Houseshare (42%), Single person living alone (20%), Couple, no children (17%)","Agree (40%), Strongly agree (40%), Neither agree nor disagree (11%)","Disagree (40%), Strongly disagree (33%), Neither agree nor disagree (15%)"
6,2.3%,"45–54 (45%), 55–64 (36%), 35–44 (16%)","Female (88%), Male (12%), Other (0%)","Black (40%), White British (23%), White Other (16%)","No disability (89%), Disability (11%)","Level 4 or above (72%), Level 3 and equivalents (14%), Level 2 and equivalents (10%)","NS SEC 1–2: Higher social groups (72%), NS SEC 3–5: Middle social groups (20%), NS SEC 9: Students and other / unclassified (5%)","Second most deprived decile (29%), Third most deprived decile (19%), Fourth most deprived decile (16%)","Working full time (74%), Working part time (17%), Other (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (42%), Lone parent family (32%), Couple with adult children (18%)","Agree (43%), Strongly agree (36%), Neither agree nor disagree (14%)","Disagree (46%), Strongly disagree (41%), Neither agree nor disagree (8%)"
7,1.8%,"55–64 (35%), 45–54 (26%), 35–44 (17%)","Female (58%), Male (42%), Other (0%)","White British (43%), Asian (excl. Chinese) (21%), Black (14%)","No disability (61%), Disability (39%)","Level 4 or above (40%), Level 2 and equivalents (21%), No qualifications (15%)","NS SEC 6–8: Lower social groups (90%), NS SEC 3–5: Middle social groups (7%), NS SEC 1–2: Higher social groups (3%)","Second most deprived decile (25%), Third most deprived decile (19%), Most deprived decile (14%)","Unemployed (69%), Working part time (20%), Not working-looking after house/children (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (45%), Couple, no children (19%), Couple with adult children (10%)","Agree (45%), Strongly agree (23%), Neither agree nor disagree (20%)","Disagree (44%), Strongly disagree (26%), Neither agree nor disagree (19%)"
8,2.6%,"35–44 (41%), 45–54 (35%), 25–34 (16%)","Male (87%), Female (12%), Other (0%)","Asian (excl. Chinese) (34%), White British (27%), White Other (20%)","No disability (91%), Disability (9%)","Level 4 or above (36%), Level 2 and equivalents (20%), Level 3 and equivalents (20%)","NS SEC 3–5: Middle social groups (54%), NS SEC 6–8: Lower social groups (25%), NS SEC 1–2: Higher social groups (18%)","Second most deprived decile (25%), Third most deprived decile (17%), Fourth most deprived decile (13%)","Working full time (73%), Working part time (14%), Unemployed (7%)","1 child (44%), 2 children (38%), 3 or more children (18%)","Couple with children (80%), Other/complex household (9%), Lone parent family (6%)","Agree (43%), Strongly agree (34%), Neither agree nor disagree (16%)","Disagree (41%), Strongly disagree (28%), Neither agree nor disagree (20%)"
9,5.7%,"35–44 (56%), 45–54 (30%), 25–34 (13%)","Female (100%), Male (0%), Other (0%)","White British (62%), White Other (18%), Asian (excl. Chinese) (12%)","No disability (95%), Disability (5%)","Level 4 or above (86%), Level 3 and equivalents (9%), Level 2 and equivalents (5%)","NS SEC 1–2: Higher social groups (80%), NS SEC 3–5: Middle social groups (19%), NS SEC 6–8: Lower social groups (1%)","Second least deprived decile (15%), Third least deprived decile (13%), Fourth least deprived decile (12%)","Working part time (47%), Working full time (28%), Not working-looking after house/children (20%)","2 children (52%), 1 child (37%), 3 or more children (11%)","Couple with children (92%), Lone parent family (6%), Other/complex household (1%)","Agree (46%), Strongly agree (31%), Neither agree nor disagree (13%)","Disagree (49%), Strongly disagree (30%), Neither agree nor disagree (15%)"
10,0.7%,"55–64 (47%), 65–74 (39%), 45–54 (11%)","Male (52%), Female (48%), Other (0%)","White British (60%), Asian (excl. Chinese) (16%), White Other (9%)","No disability (73%), Disability (27%)","Level 4 or above (52%), Level 2 and equivalents (20%), Level 3 and equivalents (11%)","NS SEC 1–2: Higher social groups (59%), NS SEC 3–5: Middle social groups (27%), NS SEC 6–8: Lower social groups (10%)","Fifth most deprived decile (14%), Fourth most deprived decile (13%), Third most deprived decile (12%)","Not working-retired (43%), Working part time (22%), Working full time (16%)","1 child (72%), 2 children (22%), 3 or more children (6%)","Couple with children (37%), Multi-generational household (31%), Other/complex household (17%)","Agree (42%), Strongly agree (25%), Neither agree nor disagree (19%)","Disagree (40%), Strongly disagree (29%), Neither agree nor disagree (22%)"
11,2.8%,"65–74 (82%), 55–64 (18%), 45–54 (0%)","Female (56%), Male (44%), Other (0%)","White British (93%), White Other (4%), Asian (excl. Chinese) (2%)","No disability (79%), Disability (21%)","Level 2 and equivalents (43%), Level 3 and equivalents (20%), No qualifications (18%)","NS SEC 3–5: Middle social groups (57%), NS SEC 1–2: Higher social groups (32%), NS SEC 6–8: Lower social groups (8%)","Second least deprived decile (15%), Third least deprived decile (14%), Fourth least deprived decile (12%)","Not working-retired (82%), Working part time (11%), Working full time (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (57%), Single person living alone (33%), Couple with adult children (6%)","Agree (45%), Neither agree nor disagree (25%), Strongly agree (21%)","Disagree (49%), Neither agree nor disagree (27%), Strongly disagree (19%)"
12,0.4%,"35–44 (42%), 25–34 (33%), 45–54 (19%)","Female (82%), Male (18%), Other (0%)","Black (31%), White Other (20%), White British (17%)","No disability (89%), Disability (11%)","Level 4 or above (68%), Level 3 and equivalents (11%), Another type of qualification (9%)","NS SEC 9: Students and other / unclassified (82%), NS SEC 1–2: Higher social groups (8%), NS SEC 6–8: Lower social groups (6%)","Second most deprived decile (29%), Third most deprived decile (15%), Most deprived decile (14%)","Student (73%), Working part time (10%), Other (8%)","1 child (39%), 2 children (39%), 3 or more children (19%)","Couple with children (51%), Lone parent family (37%), Other/complex household (10%)","Agree (45%), Strongly agree (38%), Neither agree nor disagree (14%)","Strongly disagree (40%), Disagree (34%), Neither agree nor disagree (16%)"
13,2.0%,"35–44 (38%), 45–54 (28%), 25–34 (26%)","Female (96%), Male (3%), Other (1%)","White British (51%), Black (21%), White Other (10%)","No disability (71%), Disability (29%)","Level 2 and equivalents (35%), Level 3 and equivalents (28%), Level 4 or above (18%)","NS SEC 6–8: Lower social groups (35%), NS SEC 3–5: Middle social groups (32%), NS SEC 1–2: Higher social groups (28%)","Second most deprived decile (31%), Third most deprived decile (18%), Most deprived decile (16%)","Working part time (41%), Not working-looking after house/children (18%), Working full time (16%)","1 child (52%), 2 children (33%), 3 or more children (15%)","Lone parent family (61%), Couple with children (29%), Other/complex household (5%)","Agree (39%), Neither agree nor disagree (25%), Strongly agree (19%)","Disagree (44%), Strongly disagree (33%), Neither agree nor disagree (16%)"
14,4.9%,"25–34 (76%), 16–24 (20%), 35–44 (4%)","Female (62%), Male (37%), Other (0%)","White British (65%), White Other (21%), Mixed (5%)","No disability (92%), Disability (8%)","Level 4 or above (94%), Level 3 and equivalents (5%), Level 2 and equivalents (0%)","NS SEC 1–2: Higher social groups (87%), NS SEC 3–5: Middle social groups (11%), NS SEC 6–8: Lower social groups (1%)","Second most deprived decile (21%), Third most deprived decile (20%), Fourth most deprived decile (14%)","Working full time (91%), Working part time (6%), Unemployed (2%)","None (100%), 3 or more children (0%), 2 children (0%)","Houseshare (57%), Couple, no children (30%), Single person living alone (10%)","Strongly agree (44%), Agree (39%), Neither agree nor disagree (9%)","Disagree (43%), Strongly disagree (30%), Neither agree nor disagree (14%)"
