Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
0,2.5%,"35–44 (40%), 45–54 (35%), 25–34 (16%)","Male (92%), Female (8%), Other (0%)","Asian (excl. Chinese) (33%), White British (29%), White Other (20%)","No disability (92%), Disability (8%)","Level 4 or above (38%), Level 2 and equivalents (20%), Level 3 and equivalents (20%)","NS SEC 3–5: Middle social groups (55%), NS SEC 6–8: Lower social groups (23%), NS SEC 1–2: Higher social groups (18%)","Second most deprived decile (25%), Third most deprived decile (17%), Fourth most deprived decile (13%)","Working full time (75%), Working part time (13%), Unemployed (6%)","1 child (43%), 2 children (39%), 3 or more children (18%)","Couple with children (81%), Other/complex household (9%), Lone parent family (5%)","Agree (43%), Strongly agree (35%), Neither agree nor disagree (16%)","Disagree (41%), Strongly disagree (28%), Neither agree nor disagree (20%)"
1,3.4%,"35–44 (40%), 45–54 (32%), 25–34 (24%)","Female (96%), Male (4%), Other (0%)","White British (30%), White Other (26%), Black (23%)","No disability (89%), Disability (11%)","Level 4 or above (76%), Level 3 and equivalents (12%), Level 2 and equivalents (8%)","NS SEC 1–2: Higher social groups (80%), NS SEC 3–5: Middle social groups (18%), NS SEC 9: Students and other / unclassified (1%)","Second most deprived decile (24%), Third most deprived decile (16%), Fourth most deprived decile (13%)","Working full time (63%), Working part time (25%), Other (5%)","1 child (68%), 2 children (26%), 3 or more children (6%)","Couple with children (47%), Lone parent family (42%), Other/complex household (7%)","Agree (44%), Strongly agree (30%), Neither agree nor disagree (16%)","Disagree (41%), Strongly disagree (41%), Neither agree nor disagree (11%)"
2,8.7%,"35–44 (51%), 45–54 (33%), 25–34 (11%)","Male (80%), Female (20%), Other (0%)","White British (51%), Asian (excl. Chinese) (20%), White Other (18%)","No disability (97%), Disability (3%)","Level 4 or above (92%), Level 3 and equivalents (5%), Level 2 and equivalents (2%)","NS SEC 1–2: Higher social groups (94%), NS SEC 3–5: Middle social groups (5%), NS SEC 9: Students and other / unclassified (1%)","Fifth most deprived decile (12%), Third most deprived decile (12%), Fourth most deprived decile (12%)","Working full time (92%), Working part time (4%), Not working-looking after house/children (1%)","2 children (47%), 1 child (44%), 3 or more children (9%)","Couple with children (92%), Lone parent family (4%), Other/complex household (3%)","Strongly agree (50%), Agree (37%), Neither agree nor disagree (8%)","Disagree (44%), Strongly disagree (31%), Neither agree nor disagree (17%)"
3,5.8%,"35–44 (57%), 45–54 (28%), 25–34 (15%)","Female (100%), Male (0%), Other (0%)","White British (58%), White Other (20%), Asian (excl. Chinese) (15%)","No disability (95%), Disability (5%)","Level 4 or above (86%), Level 3 and equivalents (8%), Level 2 and equivalents (5%)","NS SEC 1–2: Higher social groups (79%), NS SEC 3–5: Middle social groups (19%), NS SEC 6–8: Lower social groups (1%)","Second least deprived decile (14%), Fourth least deprived decile (12%), Third least deprived decile (12%)","Working part time (48%), Working full time (24%), Not working-looking after house/children (23%)","2 children (52%), 1 child (37%), 3 or more children (11%)","Couple with children (92%), Lone parent family (5%), Other/complex household (2%)","Agree (46%), Strongly agree (30%), Neither agree nor disagree (13%)","Disagree (49%), Strongly disagree (30%), Neither agree nor disagree (15%)"
4,3.3%,"55–64 (56%), 45–54 (36%), 65–74 (4%)","Female (56%), Male (44%), Other (0%)","White British (75%), Asian (excl. Chinese) (11%), White Other (5%)","No disability (91%), Disability (9%)","Level 2 and equivalents (49%), Level 3 and equivalents (22%), No qualifications (11%)","NS SEC 3–5: Middle social groups (59%), NS SEC 6–8: Lower social groups (23%), NS SEC 1–2: Higher social groups (14%)","Second most deprived decile (17%), Third most deprived decile (16%), Fourth most deprived decile (12%)","Working full time (59%), Working part time (26%), Not working-looking after house/children (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (32%), Couple, no children (27%), Single person living alone (23%)","Agree (40%), Neither agree nor disagree (28%), Strongly agree (20%)","Disagree (47%), Neither agree nor disagree (25%), Strongly disagree (23%)"
5,4.9%,"65–74 (71%), 55–64 (29%), 45–54 (0%)","Female (63%), Male (37%), Other (0%)","White British (72%), White Other (15%), Asian (excl. Chinese) (4%)","No disability (78%), Disability (22%)","Level 4 or above (87%), Level 3 and equivalents (7%), Level 2 and equivalents (4%)","NS SEC 1–2: Higher social groups (86%), NS SEC 3–5: Middle social groups (11%), NS SEC 9: Students and other / unclassified (2%)","Third most deprived decile (15%), Second most deprived decile (13%), Fourth most deprived decile (13%)","Not working-retired (70%), Working part time (19%), Other (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (49%), Couple, no children (32%), Couple with adult children (7%)","Agree (43%), Strongly agree (24%), Neither agree nor disagree (20%)","Disagree (47%), Strongly disagree (34%), Neither agree nor disagree (16%)"
6,2.3%,"45–54 (44%), 55–64 (35%), 35–44 (16%)","Female (85%), Male (15%), Other (0%)","Black (41%), White British (21%), White Other (16%)","No disability (89%), Disability (11%)","Level 4 or above (70%), Level 3 and equivalents (15%), Level 2 and equivalents (10%)","NS SEC 1–2: Higher social groups (68%), NS SEC 3–5: Middle social groups (22%), NS SEC 9: Students and other / unclassified (5%)","Second most deprived decile (31%), Third most deprived decile (19%), Fourth most deprived decile (16%)","Working full time (73%), Working part time (17%), Other (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (42%), Lone parent family (30%), Couple with adult children (19%)","Agree (43%), Strongly agree (36%), Neither agree nor disagree (14%)","Disagree (46%), Strongly disagree (40%), Neither agree nor disagree (8%)"
7,5.8%,"65–74 (74%), 55–64 (26%), 16–24 (0%)","Male (58%), Female (42%), Other (0%)","White British (89%), White Other (5%), Asian (excl. Chinese) (4%)","No disability (92%), Disability (8%)","Level 4 or above (72%), Level 2 and equivalents (13%), Level 3 and equivalents (9%)","NS SEC 1–2: Higher social groups (80%), NS SEC 3–5: Middle social groups (18%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (21%), Third least deprived decile (16%), Least deprived decile (13%)","Not working-retired (77%), Working part time (17%), Working full time (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (69%), Single person living alone (19%), Couple with adult children (9%)","Agree (42%), Strongly agree (37%), Neither agree nor disagree (16%)","Disagree (45%), Strongly disagree (28%), Neither agree nor disagree (22%)"
8,1.9%,"16–24 (65%), 25–34 (30%), 35–44 (4%)","Female (63%), Male (36%), Other (1%)","White British (36%), White Other (22%), Chinese (13%)","No disability (88%), Disability (12%)","Level 4 or above (71%), Level 3 and equivalents (25%), Level 2 and equivalents (3%)","NS SEC 9: Students and other / unclassified (97%), NS SEC 6–8: Lower social groups (2%), NS SEC 3–5: Middle social groups (1%)","Third most deprived decile (19%), Second most deprived decile (19%), Fourth most deprived decile (13%)","Student (98%), Unemployed (1%), Other (1%)","None (100%), 2 children (0%), 3 or more children (0%)","Houseshare (43%), Single person living alone (20%), Couple, no children (17%)","Agree (41%), Strongly agree (40%), Neither agree nor disagree (11%)","Disagree (40%), Strongly disagree (33%), Neither agree nor disagree (14%)"
9,3.1%,"25–34 (36%), 35–44 (31%), 45–54 (15%)","Male (60%), Female (39%), Other (1%)","White Other (37%), White British (32%), Asian (excl. Chinese) (12%)","No disability (91%), Disability (9%)","Level 4 or above (50%), Level 3 and equivalents (22%), Level 2 and equivalents (13%)","NS SEC 3–5: Middle social groups (52%), NS SEC 1–2: Higher social groups (24%), NS SEC 6–8: Lower social groups (20%)","Second most deprived decile (23%), Third most deprived decile (18%), Fourth most deprived decile (16%)","Working full time (70%), Working part time (17%), Other (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (41%), Single person living alone (26%), Houseshare (17%)","Agree (40%), Strongly agree (35%), Neither agree nor disagree (18%)","Disagree (37%), Strongly disagree (35%), Neither agree nor disagree (18%)"
