LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
2.0,160.0,375.0,2022 - 2023
2.0,160.0,870.0,2022 - 2023
2.0,160.0,245.0,2022 - 2023
2.0,160.0,270.0,2022 - 2023
2.0,160.0,750.0,2022 - 2023
2.0,160.0,367.5,2022 - 2023
1.0,171.0,390.0,2022 - 2023
1.0,171.0,135.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,30.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,300.0,2022 - 2023
1.0,171.0,90.0,2022 - 2023
1.0,171.0,465.0,2022 - 2023
1.0,171.0,240.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,360.0,2022 - 2023
1.0,171.0,765.0,2022 - 2023
1.0,171.0,65.0,2022 - 2023
1.0,171.0,665.0,2022 - 2023
1.0,171.0,50.0,2022 - 2023
1.0,171.0,420.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,2685.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,415.0,2022 - 2023
1.0,171.0,555.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,2657.5,2022 - 2023
1.0,171.0,795.0,2022 - 2023
1.0,171.0,600.0,2022 - 2023
1.0,171.0,630.0,2022 - 2023
1.0,171.0,120.0,2022 - 2023
1.0,171.0,120.0,2022 - 2023
1.0,171.0,15.0,2022 - 2023
1.0,171.0,15.0,2022 - 2023
1.0,171.0,172.5,2022 - 2023
1.0,171.0,1350.0,2022 - 2023
1.0,171.0,820.0,2022 - 2023
1.0,171.0,0.0,2022 - 2023
1.0,171.0,112.5,2022 - 2023
1.0,171.0,1470.0,2022 - 2023
1.0,171.0,367.5,2022 - 2023
1.0,171.0,438.75,2022 - 2023
1.0,171.0,210.0,2022 - 2023
1.0,171.0,37.5,2022 - 2023
1.0,171.0,15.0,2022 - 2023
1.0,171.0,150.0,2022 - 2023
2.0,196.0,16.0,2022 - 2023
2.0,196.0,1012.5,2022 - 2023
2.0,196.0,26.25,2022 - 2023
2.0,196.0,123.75,2022 - 2023
2.0,196.0,348.75,2022 - 2023
2.0,196.0,4012.5,2022 - 2023
2.0,196.0,180.0,2022 - 2023
2.0,196.0,60.0,2022 - 2023
2.0,196.0,52.5,2022 - 2023
2.0,196.0,180.0,2022 - 2023
2.0,196.0,265.0,2022 - 2023
2.0,196.0,667.5,2022 - 2023
2.0,196.0,615.0,2022 - 2023
2.0,196.0,30.0,2022 - 2023
2.0,196.0,360.0,2022 - 2023
2.0,196.0,420.0,2022 - 2023
2.0,196.0,735.0,2022 - 2023
2.0,196.0,667.5,2022 - 2023
2.0,196.0,472.5,2022 - 2023
2.0,196.0,300.0,2022 - 2023
2.0,196.0,65.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,1360.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,367.5,2022 - 2023
2.0,196.0,67.5,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,390.0,2022 - 2023
2.0,196.0,420.0,2022 - 2023
2.0,196.0,690.0,2022 - 2023
2.0,196.0,287.5,2022 - 2023
2.0,196.0,67.5,2022 - 2023
2.0,196.0,315.0,2022 - 2023
2.0,196.0,200.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,450.0,2022 - 2023
2.0,196.0,187.5,2022 - 2023
2.0,196.0,180.0,2022 - 2023
2.0,196.0,180.0,2022 - 2023
2.0,196.0,60.0,2022 - 2023
2.0,196.0,300.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,196.0,890.0,2022 - 2023
2.0,196.0,770.0,2022 - 2023
2.0,196.0,670.0,2022 - 2023
2.0,196.0,200.0,2022 - 2023
2.0,196.0,30.0,2022 - 2023
2.0,196.0,715.0,2022 - 2023
2.0,196.0,642.5,2022 - 2023
2.0,196.0,780.0,2022 - 2023
2.0,196.0,595.0,2022 - 2023
2.0,196.0,0.0,2022 - 2023
2.0,201.0,735.0,2022 - 2023
2.0,201.0,850.0,2022 - 2023
2.0,201.0,675.0,2022 - 2023
2.0,201.0,270.0,2022 - 2023
2.0,201.0,1440.0,2022 - 2023
2.0,201.0,1136.25,2022 - 2023
2.0,201.0,91.25,2022 - 2023
2.0,201.0,210.0,2022 - 2023
2.0,201.0,600.0,2022 - 2023
2.0,201.0,420.0,2022 - 2023
2.0,201.0,135.0,2022 - 2023
2.0,201.0,248.75,2022 - 2023
2.0,201.0,345.0,2022 - 2023
2.0,201.0,240.0,2022 - 2023
2.0,201.0,1725.0,2022 - 2023
2.0,201.0,360.0,2022 - 2023
2.0,201.0,5190.0,2022 - 2023
2.0,201.0,360.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,581.25,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,420.0,2022 - 2023
2.0,201.0,90.0,2022 - 2023
2.0,201.0,3637.5,2022 - 2023
2.0,201.0,1605.0,2022 - 2023
2.0,201.0,465.0,2022 - 2023
2.0,201.0,551.25,2022 - 2023
2.0,201.0,360.0,2022 - 2023
2.0,201.0,310.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
2.0,201.0,258.75,2022 - 2023
2.0,201.0,360.0,2022 - 2023
2.0,201.0,970.0,2022 - 2023
2.0,201.0,810.0,2022 - 2023
2.0,201.0,6502.5,2022 - 2023
2.0,201.0,2100.0,2022 - 2023
2.0,201.0,1736.25,2022 - 2023
2.0,201.0,656.25,2022 - 2023
2.0,201.0,75.0,2022 - 2023
2.0,201.0,127.5,2022 - 2023
1.0,241.0,507.5,2022 - 2023
1.0,241.0,262.5,2022 - 2023
1.0,241.0,0.0,2022 - 2023
1.0,241.0,1275.0,2022 - 2023
1.0,241.0,457.5,2022 - 2023
1.0,241.0,0.0,2022 - 2023
1.0,241.0,0.0,2022 - 2023
1.0,241.0,4500.0,2022 - 2023
1.0,241.0,435.0,2022 - 2023
1.0,241.0,1515.0,2022 - 2023
1.0,241.0,825.0,2022 - 2023
1.0,241.0,37.5,2022 - 2023
1.0,241.0,1070.0,2022 - 2023
1.0,241.0,2622.5,2022 - 2023
1.0,241.0,1087.5,2022 - 2023
1.0,241.0,1638.75,2022 - 2023
1.0,241.0,645.0,2022 - 2023
1.0,241.0,1147.5,2022 - 2023
1.0,241.0,30.0,2022 - 2023
1.0,241.0,3532.5,2022 - 2023
1.0,241.0,2257.5,2022 - 2023
1.0,241.0,412.5,2022 - 2023
1.0,241.0,437.5,2022 - 2023
1.0,241.0,300.0,2022 - 2023
1.0,241.0,315.0,2022 - 2023
1.0,241.0,315.0,2022 - 2023
2.0,255.0,540.0,2022 - 2023
2.0,255.0,282.5,2022 - 2023
2.0,255.0,320.0,2022 - 2023
2.0,255.0,331.25,2022 - 2023
2.0,255.0,0.0,2022 - 2023
2.0,255.0,1215.0,2022 - 2023
2.0,255.0,690.0,2022 - 2023
2.0,255.0,472.5,2022 - 2023
2.0,255.0,180.0,2022 - 2023
2.0,255.0,600.0,2022 - 2023
2.0,255.0,157.5,2022 - 2023
2.0,255.0,210.0,2022 - 2023
2.0,255.0,315.0,2022 - 2023
2.0,255.0,90.0,2022 - 2023
2.0,255.0,0.0,2022 - 2023
2.0,255.0,58.75,2022 - 2023
2.0,255.0,3007.5,2022 - 2023
2.0,255.0,750.0,2022 - 2023
2.0,255.0,570.0,2022 - 2023
2.0,255.0,1290.0,2022 - 2023
2.0,255.0,165.0,2022 - 2023
2.0,255.0,780.0,2022 - 2023
2.0,255.0,1488.75,2022 - 2023
2.0,255.0,2220.0,2022 - 2023
2.0,255.0,75.0,2022 - 2023
2.0,255.0,125.0,2022 - 2023
2.0,255.0,660.0,2022 - 2023
2.0,255.0,320.0,2022 - 2023
2.0,255.0,1311.25,2022 - 2023
2.0,255.0,465.0,2022 - 2023
2.0,255.0,511.25,2022 - 2023
2.0,255.0,81.25,2022 - 2023
2.0,255.0,318.75,2022 - 2023
2.0,255.0,765.0,2022 - 2023
2.0,255.0,600.0,2022 - 2023
2.0,255.0,517.5,2022 - 2023
2.0,255.0,622.5,2022 - 2023
2.0,255.0,4235.0,2022 - 2023
2.0,255.0,100.0,2022 - 2023
2.0,255.0,150.0,2022 - 2023
2.0,255.0,0.0,2022 - 2023
2.0,255.0,90.0,2022 - 2023
2.0,255.0,285.0,2022 - 2023
2.0,255.0,260.0,2022 - 2023
2.0,255.0,63.25,2022 - 2023
2.0,255.0,3701.25,2022 - 2023
1.0,272.0,315.0,2022 - 2023
1.0,272.0,1057.5,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,105.0,2022 - 2023
1.0,272.0,40.0,2022 - 2023
1.0,272.0,1855.0,2022 - 2023
1.0,272.0,195.0,2022 - 2023
1.0,272.0,337.5,2022 - 2023
1.0,272.0,427.5,2022 - 2023
1.0,272.0,900.0,2022 - 2023
1.0,272.0,120.0,2022 - 2023
1.0,272.0,1290.0,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,1195.0,2022 - 2023
1.0,272.0,25.0,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,360.0,2022 - 2023
1.0,272.0,690.0,2022 - 2023
1.0,272.0,382.5,2022 - 2023
1.0,272.0,22.5,2022 - 2023
1.0,272.0,277.5,2022 - 2023
1.0,272.0,67.5,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,26.25,2022 - 2023
1.0,272.0,322.5,2022 - 2023
1.0,272.0,1215.0,2022 - 2023
1.0,272.0,1005.0,2022 - 2023
1.0,272.0,30.0,2022 - 2023
1.0,272.0,232.5,2022 - 2023
1.0,272.0,856.25,2022 - 2023
1.0,272.0,967.5,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,840.0,2022 - 2023
1.0,272.0,1470.0,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,420.0,2022 - 2023
1.0,272.0,1162.5,2022 - 2023
1.0,272.0,720.0,2022 - 2023
1.0,272.0,67.5,2022 - 2023
1.0,272.0,1969.5,2022 - 2023
2.0,279.0,2010.0,2022 - 2023
2.0,279.0,11.25,2022 - 2023
2.0,279.0,15.0,2022 - 2023
2.0,279.0,990.0,2022 - 2023
2.0,279.0,720.0,2022 - 2023
2.0,279.0,33.75,2022 - 2023
2.0,279.0,875.0,2022 - 2023
2.0,279.0,198.75,2022 - 2023
2.0,279.0,0.0,2022 - 2023
2.0,279.0,910.0,2022 - 2023
2.0,279.0,360.0,2022 - 2023
2.0,279.0,660.0,2022 - 2023
2.0,279.0,1513.75,2022 - 2023
2.0,279.0,520.0,2022 - 2023
2.0,279.0,0.0,2022 - 2023
2.0,279.0,392.5,2022 - 2023
2.0,279.0,932.5,2022 - 2023
2.0,279.0,1340.0,2022 - 2023
2.0,279.0,60.0,2022 - 2023
2.0,279.0,165.0,2022 - 2023
2.0,279.0,392.5,2022 - 2023
2.0,279.0,150.0,2022 - 2023
2.0,279.0,290.0,2022 - 2023
2.0,279.0,2313.75,2022 - 2023
2.0,279.0,107.5,2022 - 2023
2.0,279.0,2040.0,2022 - 2023
2.0,279.0,29.5,2022 - 2023
2.0,279.0,405.0,2022 - 2023
2.0,279.0,355.0,2022 - 2023
2.0,279.0,612.5,2022 - 2023
2.0,279.0,1305.0,2022 - 2023
2.0,279.0,570.0,2022 - 2023
2.0,279.0,0.0,2022 - 2023
2.0,279.0,715.0,2022 - 2023
2.0,279.0,600.0,2022 - 2023
2.0,279.0,210.0,2022 - 2023
2.0,279.0,1170.0,2022 - 2023
2.0,279.0,1835.0,2022 - 2023
1.0,280.0,112.5,2022 - 2023
1.0,280.0,2242.5,2022 - 2023
1.0,280.0,1717.5,2022 - 2023
1.0,280.0,1477.5,2022 - 2023
1.0,280.0,562.5,2022 - 2023
1.0,280.0,120.0,2022 - 2023
1.0,280.0,30.0,2022 - 2023
1.0,280.0,320.0,2022 - 2023
1.0,280.0,2160.0,2022 - 2023
1.0,280.0,498.75,2022 - 2023
1.0,280.0,690.0,2022 - 2023
1.0,280.0,472.5,2022 - 2023
1.0,280.0,335.0,2022 - 2023
1.0,280.0,273.75,2022 - 2023
1.0,280.0,270.0,2022 - 2023
1.0,280.0,2415.0,2022 - 2023
1.0,280.0,847.5,2022 - 2023
1.0,280.0,285.0,2022 - 2023
1.0,280.0,60.0,2022 - 2023
1.0,280.0,798.75,2022 - 2023
1.0,280.0,1040.0,2022 - 2023
1.0,280.0,1830.0,2022 - 2023
1.0,280.0,907.5,2022 - 2023
1.0,280.0,817.5,2022 - 2023
1.0,280.0,930.0,2022 - 2023
1.0,280.0,0.0,2022 - 2023
1.0,280.0,0.0,2022 - 2023
1.0,280.0,263.75,2022 - 2023
1.0,280.0,1065.0,2022 - 2023
1.0,280.0,1260.0,2022 - 2023
1.0,280.0,422.5,2022 - 2023
1.0,280.0,0.0,2022 - 2023
1.0,280.0,2223.75,2022 - 2023
1.0,280.0,125.0,2022 - 2023
1.0,280.0,770.0,2022 - 2023
1.0,293.0,0.0,2022 - 2023
1.0,293.0,2520.0,2022 - 2023
1.0,293.0,2262.5,2022 - 2023
1.0,293.0,900.0,2022 - 2023
1.0,293.0,527.5,2022 - 2023
1.0,293.0,818.75,2022 - 2023
1.0,293.0,930.0,2022 - 2023
1.0,293.0,2100.0,2022 - 2023
1.0,293.0,63.75,2022 - 2023
1.0,293.0,292.5,2022 - 2023
1.0,293.0,1245.0,2022 - 2023
1.0,293.0,1020.0,2022 - 2023
1.0,293.0,450.0,2022 - 2023
1.0,293.0,710.5,2022 - 2023
1.0,293.0,990.0,2022 - 2023
1.0,293.0,420.0,2022 - 2023
1.0,293.0,22.5,2022 - 2023
1.0,293.0,60.0,2022 - 2023
1.0,293.0,420.0,2022 - 2023
1.0,293.0,52.5,2022 - 2023
1.0,293.0,255.0,2022 - 2023
1.0,293.0,255.0,2022 - 2023
1.0,293.0,165.0,2022 - 2023
1.0,293.0,0.0,2022 - 2023
1.0,293.0,437.5,2022 - 2023
1.0,293.0,3356.25,2022 - 2023
1.0,293.0,261.25,2022 - 2023
1.0,293.0,397.5,2022 - 2023
1.0,293.0,665.0,2022 - 2023
1.0,293.0,780.0,2022 - 2023
1.0,293.0,330.0,2022 - 2023
1.0,59.0,562.5,2022 - 2023
1.0,59.0,1522.5,2022 - 2023
1.0,59.0,1717.5,2022 - 2023
1.0,59.0,1102.5,2022 - 2023
1.0,59.0,465.0,2022 - 2023
1.0,59.0,122.5,2022 - 2023
1.0,59.0,1072.5,2022 - 2023
1.0,59.0,970.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,1431.25,2022 - 2023
2.0,8.0,280.0,2022 - 2023
2.0,8.0,1380.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,95.0,2022 - 2023
2.0,8.0,25.0,2022 - 2023
2.0,8.0,20.0,2022 - 2023
2.0,8.0,705.0,2022 - 2023
2.0,8.0,510.0,2022 - 2023
2.0,8.0,225.0,2022 - 2023
2.0,8.0,555.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,600.0,2022 - 2023
2.0,8.0,180.0,2022 - 2023
2.0,8.0,330.0,2022 - 2023
2.0,8.0,300.0,2022 - 2023
2.0,8.0,67.5,2022 - 2023
2.0,8.0,120.0,2022 - 2023
2.0,8.0,67.5,2022 - 2023
2.0,8.0,1560.0,2022 - 2023
2.0,8.0,601.25,2022 - 2023
2.0,8.0,290.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,875.0,2022 - 2023
2.0,8.0,420.0,2022 - 2023
2.0,8.0,1200.0,2022 - 2023
2.0,8.0,152.5,2022 - 2023
2.0,8.0,45.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,150.0,2022 - 2023
2.0,8.0,720.0,2022 - 2023
2.0,8.0,540.0,2022 - 2023
2.0,8.0,530.0,2022 - 2023
2.0,8.0,60.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,2040.0,2022 - 2023
2.0,8.0,210.0,2022 - 2023
2.0,9.0,280.0,2022 - 2023
2.0,9.0,150.0,2022 - 2023
2.0,9.0,1515.0,2022 - 2023
2.0,9.0,210.0,2022 - 2023
2.0,9.0,330.0,2022 - 2023
2.0,9.0,1080.0,2022 - 2023
2.0,9.0,660.0,2022 - 2023
2.0,9.0,570.0,2022 - 2023
2.0,9.0,120.0,2022 - 2023
2.0,9.0,75.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,327.5,2022 - 2023
2.0,9.0,665.0,2022 - 2023
2.0,9.0,1417.5,2022 - 2023
2.0,9.0,700.0,2022 - 2023
2.0,9.0,1190.0,2022 - 2023
2.0,9.0,1567.5,2022 - 2023
2.0,9.0,1495.0,2022 - 2023
2.0,9.0,540.0,2022 - 2023
2.0,9.0,30.0,2022 - 2023
2.0,9.0,2655.0,2022 - 2023
2.0,9.0,387.5,2022 - 2023
2.0,9.0,187.5,2022 - 2023
2.0,9.0,180.0,2022 - 2023
2.0,9.0,15.0,2022 - 2023
2.0,9.0,60.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,141.25,2022 - 2023
2.0,9.0,125.0,2022 - 2023
2.0,9.0,1140.0,2022 - 2023
2.0,9.0,1020.0,2022 - 2023
2.0,9.0,645.0,2022 - 2023
2.0,9.0,240.0,2022 - 2023
2.0,9.0,310.0,2022 - 2023
2.0,9.0,120.0,2022 - 2023
2.0,9.0,692.5,2022 - 2023
2.0,9.0,136.25,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,130.0,2022 - 2023
2.0,9.0,390.0,2022 - 2023
2.0,17.0,510.0,2022 - 2023
2.0,17.0,20.0,2022 - 2023
2.0,17.0,139.5,2022 - 2023
2.0,17.0,187.5,2022 - 2023
2.0,17.0,1432.5,2022 - 2023
2.0,17.0,525.0,2022 - 2023
2.0,17.0,960.0,2022 - 2023
2.0,17.0,915.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,240.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,420.0,2022 - 2023
2.0,17.0,971.25,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,475.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,1147.5,2022 - 2023
2.0,17.0,180.0,2022 - 2023
2.0,17.0,33.75,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,30.0,2022 - 2023
2.0,17.0,420.0,2022 - 2023
2.0,17.0,690.0,2022 - 2023
2.0,17.0,255.0,2022 - 2023
2.0,17.0,140.0,2022 - 2023
2.0,17.0,210.0,2022 - 2023
2.0,17.0,377.5,2022 - 2023
2.0,17.0,360.0,2022 - 2023
2.0,17.0,301.25,2022 - 2023
2.0,17.0,235.0,2022 - 2023
2.0,17.0,281.5,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,750.0,2022 - 2023
2.0,17.0,270.0,2022 - 2023
2.0,17.0,210.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,1623.0,2022 - 2023
2.0,17.0,91.5,2022 - 2023
2.0,17.0,100.0,2022 - 2023
2.0,17.0,420.0,2022 - 2023
2.0,17.0,431.25,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,300.0,2022 - 2023
2.0,17.0,252.5,2022 - 2023
2.0,17.0,510.0,2022 - 2023
2.0,17.0,0.0,2022 - 2023
2.0,17.0,2955.0,2022 - 2023
2.0,30.0,1335.0,2022 - 2023
2.0,30.0,180.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,420.0,2022 - 2023
2.0,30.0,60.0,2022 - 2023
2.0,30.0,45.0,2022 - 2023
2.0,30.0,1177.5,2022 - 2023
2.0,30.0,1440.0,2022 - 2023
2.0,30.0,810.0,2022 - 2023
2.0,30.0,840.0,2022 - 2023
2.0,30.0,787.5,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,50.0,2022 - 2023
2.0,30.0,162.5,2022 - 2023
2.0,30.0,1300.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,360.0,2022 - 2023
2.0,30.0,350.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,120.0,2022 - 2023
2.0,30.0,152.5,2022 - 2023
2.0,30.0,1930.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,533.5,2022 - 2023
2.0,30.0,840.0,2022 - 2023
2.0,30.0,120.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,255.0,2022 - 2023
2.0,30.0,712.5,2022 - 2023
2.0,30.0,105.0,2022 - 2023
2.0,30.0,660.0,2022 - 2023
2.0,30.0,2630.0,2022 - 2023
2.0,30.0,378.75,2022 - 2023
2.0,30.0,240.0,2022 - 2023
2.0,30.0,82.75,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,0.0,2022 - 2023
2.0,30.0,15.0,2022 - 2023
2.0,30.0,240.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,435.0,2022 - 2023
2.0,35.0,1110.0,2022 - 2023
2.0,35.0,1087.5,2022 - 2023
2.0,35.0,180.0,2022 - 2023
2.0,35.0,630.0,2022 - 2023
2.0,35.0,306.25,2022 - 2023
2.0,35.0,45.0,2022 - 2023
2.0,35.0,90.0,2022 - 2023
2.0,35.0,90.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,870.0,2022 - 2023
2.0,35.0,1440.0,2022 - 2023
2.0,35.0,1410.0,2022 - 2023
2.0,35.0,1530.0,2022 - 2023
2.0,35.0,600.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,557.5,2022 - 2023
2.0,35.0,1890.0,2022 - 2023
2.0,35.0,1015.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,700.0,2022 - 2023
2.0,35.0,655.0,2022 - 2023
2.0,35.0,355.0,2022 - 2023
2.0,35.0,135.0,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,720.0,2022 - 2023
2.0,35.0,145.0,2022 - 2023
2.0,35.0,585.0,2022 - 2023
2.0,35.0,3330.0,2022 - 2023
2.0,35.0,557.5,2022 - 2023
2.0,35.0,72.5,2022 - 2023
2.0,35.0,622.5,2022 - 2023
2.0,35.0,0.0,2022 - 2023
2.0,35.0,760.0,2022 - 2023
2.0,35.0,690.0,2022 - 2023
2.0,35.0,851.25,2022 - 2023
2.0,35.0,180.0,2022 - 2023
2.0,35.0,450.0,2022 - 2023
2.0,35.0,585.0,2022 - 2023
2.0,35.0,210.0,2022 - 2023
2.0,35.0,1260.0,2022 - 2023
2.0,35.0,20.0,2022 - 2023
2.0,35.0,217.5,2022 - 2023
2.0,35.0,360.0,2022 - 2023
2.0,35.0,595.0,2022 - 2023
2.0,35.0,300.0,2022 - 2023
2.0,35.0,20.0,2022 - 2023
2.0,35.0,1417.5,2022 - 2023
2.0,35.0,330.0,2022 - 2023
2.0,35.0,1277.5,2022 - 2023
1.0,44.0,588.75,2022 - 2023
1.0,44.0,180.0,2022 - 2023
1.0,44.0,1035.0,2022 - 2023
1.0,44.0,997.5,2022 - 2023
1.0,44.0,832.5,2022 - 2023
1.0,44.0,382.5,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,860.25,2022 - 2023
1.0,44.0,260.0,2022 - 2023
1.0,44.0,1365.0,2022 - 2023
1.0,44.0,211.25,2022 - 2023
1.0,44.0,1415.0,2022 - 2023
1.0,44.0,270.0,2022 - 2023
1.0,44.0,300.0,2022 - 2023
1.0,44.0,945.0,2022 - 2023
1.0,44.0,870.0,2022 - 2023
1.0,44.0,1075.0,2022 - 2023
1.0,44.0,1330.0,2022 - 2023
1.0,44.0,420.0,2022 - 2023
1.0,44.0,690.0,2022 - 2023
1.0,44.0,1012.5,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,300.0,2022 - 2023
1.0,44.0,947.5,2022 - 2023
1.0,44.0,0.0,2022 - 2023
1.0,44.0,300.0,2022 - 2023
1.0,44.0,922.5,2022 - 2023
1.0,44.0,221.25,2022 - 2023
1.0,44.0,240.0,2022 - 2023
1.0,44.0,90.0,2022 - 2023
1.0,44.0,1237.5,2022 - 2023
1.0,44.0,832.5,2022 - 2023
1.0,44.0,535.0,2022 - 2023
1.0,44.0,2310.0,2022 - 2023
1.0,44.0,1260.0,2022 - 2023
2.0,68.0,715.0,2022 - 2023
2.0,68.0,30.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,1023.75,2022 - 2023
2.0,68.0,525.0,2022 - 2023
2.0,68.0,500.0,2022 - 2023
2.0,68.0,152.5,2022 - 2023
2.0,68.0,320.25,2022 - 2023
2.0,68.0,420.0,2022 - 2023
2.0,68.0,537.5,2022 - 2023
2.0,68.0,585.0,2022 - 2023
2.0,68.0,60.0,2022 - 2023
2.0,68.0,590.0,2022 - 2023
2.0,68.0,210.0,2022 - 2023
2.0,68.0,82.5,2022 - 2023
2.0,68.0,1200.0,2022 - 2023
2.0,68.0,720.0,2022 - 2023
2.0,68.0,1476.25,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,1410.0,2022 - 2023
2.0,68.0,920.0,2022 - 2023
2.0,68.0,630.0,2022 - 2023
2.0,68.0,30.0,2022 - 2023
2.0,68.0,400.0,2022 - 2023
2.0,68.0,460.0,2022 - 2023
2.0,68.0,82.5,2022 - 2023
2.0,68.0,180.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,206.25,2022 - 2023
2.0,68.0,30.0,2022 - 2023
2.0,68.0,360.0,2022 - 2023
2.0,68.0,360.0,2022 - 2023
2.0,68.0,960.0,2022 - 2023
2.0,68.0,185.0,2022 - 2023
2.0,68.0,45.0,2022 - 2023
2.0,68.0,315.0,2022 - 2023
2.0,68.0,817.5,2022 - 2023
2.0,68.0,426.25,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,68.0,95.0,2022 - 2023
2.0,68.0,255.0,2022 - 2023
2.0,68.0,37.5,2022 - 2023
2.0,68.0,450.0,2022 - 2023
2.0,68.0,0.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,526.5,2022 - 2023
2.0,78.0,3364.75,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,900.0,2022 - 2023
2.0,78.0,420.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,330.0,2022 - 2023
2.0,78.0,451.25,2022 - 2023
2.0,78.0,56.25,2022 - 2023
2.0,78.0,15.0,2022 - 2023
2.0,78.0,112.5,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,15.0,2022 - 2023
2.0,78.0,780.0,2022 - 2023
2.0,78.0,375.0,2022 - 2023
2.0,78.0,1050.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,0.0,2022 - 2023
2.0,78.0,450.0,2022 - 2023
2.0,78.0,45.0,2022 - 2023
