LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
1.0,109.0,620.0,2022 - 2023
1.0,109.0,1875.0,2022 - 2023
1.0,112.0,45.0,2022 - 2023
1.0,112.0,0.0,2022 - 2023
1.0,112.0,682.5,2022 - 2023
1.0,112.0,497.5,2022 - 2023
1.0,112.0,0.0,2022 - 2023
1.0,112.0,287.5,2022 - 2023
1.0,112.0,0.0,2022 - 2023
1.0,114.0,210.0,2022 - 2023
2.0,117.0,0.0,2022 - 2023
2.0,117.0,203.75,2022 - 2023
2.0,117.0,0.0,2022 - 2023
2.0,117.0,0.0,2022 - 2023
2.0,126.0,600.0,2022 - 2023
2.0,126.0,285.0,2022 - 2023
2.0,126.0,600.0,2022 - 2023
2.0,126.0,1800.0,2022 - 2023
2.0,126.0,135.0,2022 - 2023
2.0,126.0,1721.25,2022 - 2023
2.0,126.0,217.5,2022 - 2023
2.0,126.0,131.25,2022 - 2023
2.0,129.0,116.25,2022 - 2023
2.0,129.0,750.0,2022 - 2023
2.0,129.0,221.25,2022 - 2023
2.0,129.0,405.0,2022 - 2023
1.0,135.0,562.5,2022 - 2023
1.0,135.0,0.0,2022 - 2023
1.0,135.0,977.5,2022 - 2023
1.0,135.0,660.0,2022 - 2023
1.0,135.0,502.5,2022 - 2023
1.0,135.0,0.0,2022 - 2023
1.0,136.0,575.0,2022 - 2023
1.0,136.0,390.0,2022 - 2023
2.0,139.0,180.0,2022 - 2023
2.0,139.0,915.0,2022 - 2023
2.0,139.0,112.5,2022 - 2023
2.0,139.0,420.0,2022 - 2023
1.0,142.0,0.0,2022 - 2023
1.0,142.0,0.0,2022 - 2023
1.0,147.0,0.0,2022 - 2023
1.0,147.0,0.0,2022 - 2023
1.0,147.0,360.0,2022 - 2023
1.0,147.0,862.5,2022 - 2023
2.0,160.0,240.0,2022 - 2023
2.0,160.0,510.0,2022 - 2023
2.0,160.0,1800.0,2022 - 2023
2.0,160.0,1710.0,2022 - 2023
2.0,160.0,510.0,2022 - 2023
2.0,160.0,1080.0,2022 - 2023
2.0,196.0,180.0,2022 - 2023
2.0,196.0,420.0,2022 - 2023
2.0,196.0,240.0,2022 - 2023
2.0,196.0,15.0,2022 - 2023
2.0,196.0,260.0,2022 - 2023
2.0,201.0,45.0,2022 - 2023
2.0,201.0,0.0,2022 - 2023
1.0,241.0,4410.0,2022 - 2023
1.0,241.0,945.0,2022 - 2023
1.0,241.0,675.0,2022 - 2023
