feature_names,odds_ratios,pvalues,confidence_lower,confidence_upper,std_error,pseudo_rsquared,year
const,6.607005845400163,5.8131170485085945e-30,4.771642585589294,9.14832271238959,0.16604385445551462,0.11190567404884733,2016/17
Disab2_POP,1.378040795860382,1.4409704848108146e-06,1.2095531062970157,1.569998394588225,0.06653786526497767,0.11190567404884733,2016/17
Educ6,0.883660627166738,1.583787354966164e-14,0.8562062472369573,0.9119953358488037,0.016103251438503927,0.11190567404884733,2016/17
NSSEC5,0.8283060852638112,2.3004325252237487e-09,0.7786734293244688,0.8811023274291923,0.03152660691359585,0.11190567404884733,2016/17
Motiva_POP,0.5620074139962489,1.3251406027741001e-170,0.5396662495756004,0.585273460467726,0.020696375111736602,0.11190567404884733,2016/17
motivd_POP,0.9927707656756127,0.7366717870818409,0.9516621536456035,1.0356551318181082,0.021576771956235734,0.11190567404884733,2016/17
Gend3_1,0.9496281548183678,0.2300562137707356,0.8727669909685569,1.0332581797381781,0.04306297388607711,0.11190567404884733,2016/17
Age9_1,0.8773373087984574,0.24240531098738938,0.7044959053184855,1.0925837149638902,0.1119454324987044,0.11190567404884733,2016/17
Age9_2,0.943188893785397,0.617152783665607,0.7499034392165937,1.1862931183373027,0.11700323342447205,0.11190567404884733,2016/17
Age9_3,0.9802376309402614,0.8674264999728172,0.7754430635350665,1.2391184579445589,0.11957386145297189,0.11190567404884733,2016/17
Age9_4,0.8527692438459942,0.20166938744678398,0.6678126290072406,1.088951229225382,0.12473767430873071,0.11190567404884733,2016/17
Age9_5,0.6027823576478563,0.00032444829119473875,0.45740865017851684,0.7943587655146043,0.14080820266292376,0.11190567404884733,2016/17
Age9_6,0.6532846481570198,0.029943571158267974,0.4448008397123381,0.959487468129892,0.19611906897664552,0.11190567404884733,2016/17
Age9_7,0.4023473161756268,0.0007447223818497299,0.23703643813511857,0.6829471625010284,0.2699548632771388,0.11190567404884733,2016/17
Eth7_1,0.7032246139613788,2.2886125807609122e-09,0.6265331388901286,0.7893035930344494,0.05891673584090869,0.11190567404884733,2016/17
Eth7_2,0.41166407834744,1.3585187784146934e-44,0.36359474413655524,0.4660884573678007,0.06335206504284153,0.11190567404884733,2016/17
Eth7_3,0.46193082456216233,1.7415461244859782e-20,0.39238503400335883,0.5438028165948161,0.08325232680506074,0.11190567404884733,2016/17
Eth7_4,0.3361680644239749,1.6426689103229344e-16,0.25943015403070213,0.4356045963923983,0.13220840702433476,0.11190567404884733,2016/17
Eth7_5,0.9404261989072052,0.6265947771472374,0.7342830864815099,1.2044420631133859,0.126246475387633,0.11190567404884733,2016/17
Eth7_6,0.5527487226696809,1.27929729361311e-06,0.43483791980786757,0.7026322601947003,0.12241558888279007,0.11190567404884733,2016/17
IMD10_1,1.053542596801116,0.4827984182557018,0.9107325357005721,1.218746404421161,0.07431994016624165,0.11190567404884733,2016/17
IMD10_2,1.1546029616078186,0.07294416316018966,0.9867181637792823,1.3510524564051167,0.08016849217962972,0.11190567404884733,2016/17
IMD10_3,0.9570089402585474,0.5972588365448287,0.8130581743522843,1.1264459796673278,0.08316993194841973,0.11190567404884733,2016/17
IMD10_4,1.197403683261073,0.04411143400126786,1.0047604575388254,1.4269824911295146,0.08949473283366906,0.11190567404884733,2016/17
IMD10_5,1.3154596478005414,0.0028734642967026703,1.0984612444375201,1.5753255690669479,0.0919791466827099,0.11190567404884733,2016/17
IMD10_6,1.1208734138310925,0.23636297328843703,0.9279629390139053,1.3538872696450883,0.0963648822442841,0.11190567404884733,2016/17
IMD10_7,1.1129307408755102,0.2968813698284597,0.9102468053633916,1.3607461478441865,0.1025714482897555,0.11190567404884733,2016/17
IMD10_8,1.0074853423235153,0.9398888807861615,0.8299672439215667,1.2229720177880326,0.0988928938615621,0.11190567404884733,2016/17
IMD10_9,1.2095705686935136,0.1612377625821506,0.9268846191373342,1.5784715059909433,0.13581452767628097,0.11190567404884733,2016/17
Child4_1,0.7849630927213914,0.01425249503727622,0.6467833933131352,0.9526636943759922,0.09879020754427673,0.11190567404884733,2016/17
Child4_2,0.9222873600157354,0.45935839036064086,0.7443872425222365,1.1427035900865603,0.1093364267401045,0.11190567404884733,2016/17
Child4_3,0.7607445979305907,0.04053207656033461,0.5855967758082421,0.988277885379079,0.13350563224494397,0.11190567404884733,2016/17
WorkStat8_1,1.135683238936463,0.04659516125662391,1.00191983480296,1.2873050062481954,0.06393813823357249,0.11190567404884733,2016/17
WorkStat8_2,1.1322527687678394,0.26273177584577956,0.9110466765154315,1.4071686615287526,0.11090530081076307,0.11190567404884733,2016/17
WorkStat8_3,1.108186459113333,0.26131113649010185,0.9263412242914785,1.3257287875765804,0.0914493732723361,0.11190567404884733,2016/17
WorkStat8_4,1.206129045321985,0.0731639411478605,0.9825651666958228,1.480560601248829,0.10459615940125422,0.11190567404884733,2016/17
WorkStat8_5,0.5615428503256332,0.0003464175383763201,0.40934928444673735,0.7703210552279977,0.16128831957550613,0.11190567404884733,2016/17
WorkStat8_6,1.6385966017484836,0.0002474225365888239,1.2582711664627562,2.13387932174408,0.13474811693213,0.11190567404884733,2016/17
WorkStat8_7,1.3853088873909265,0.00997979657214856,1.0811157055452694,1.7750928079584074,0.12649700276620301,0.11190567404884733,2016/17
HHLiv9_1,1.2323435709024746,0.050288077607875147,0.9997376382287736,1.5190692224364766,0.10672649934564199,0.11190567404884733,2016/17
HHLiv9_2,0.9012370111903912,0.32821114792284567,0.73165847400468,1.1101192416917105,0.10635625890434482,0.11190567404884733,2016/17
HHLiv9_3,0.9472654282183257,0.3739071446436091,0.8406391460978678,1.0674161388544026,0.0609280820285877,0.11190567404884733,2016/17
HHLiv9_4,0.8269393198400434,0.09511381175236708,0.6615476847757857,1.0336800421715322,0.1138537511265459,0.11190567404884733,2016/17
HHLiv9_5,0.9179366201903185,0.3632528209530971,0.7632144460074367,1.1040247509652283,0.0941799442970832,0.11190567404884733,2016/17
HHLiv9_6,0.7628814296653366,0.12563299335370143,0.5395534861706568,1.0786476051869107,0.17671788957313503,0.11190567404884733,2016/17
HHLiv9_7,0.946443233519354,0.5975133494361584,0.7715302464333994,1.1610105999284301,0.1042545269030816,0.11190567404884733,2016/17
HHLiv9_8,0.7765619382070728,0.027583878828233613,0.620118755889606,0.9724725113447151,0.11478037637882062,0.11190567404884733,2016/17
const,6.592522785316998,2.7045084859645216e-26,4.653036896179766,9.34042812138593,0.17776652829253672,0.10464378010319797,2017/18
Disab2_POP,1.281976504482677,0.00037341935513408734,1.1180373169129616,1.4699542968596329,0.0698116290508386,0.10464378010319797,2017/18
Educ6,0.8669772197828055,5.852171475036741e-18,0.8393389611802502,0.8955255676030798,0.016529931609758495,0.10464378010319797,2017/18
NSSEC5,0.9034877443726239,0.0022637150681744066,0.8465013273376633,0.9643104834801041,0.033240802504242974,0.10464378010319797,2017/18
Motiva_POP,0.5821000748381399,1.3870672000471021e-133,0.5575339839893179,0.6077485980353443,0.021999855037532948,0.10464378010319797,2017/18
motivd_POP,1.0165858569897566,0.4784317367531128,0.9713822311851438,1.0638930499796477,0.023207087184069622,0.10464378010319797,2017/18
Gend3_1,0.941813389011796,0.19132042438843766,0.860821991752727,1.0304249522201807,0.0458780965891651,0.10464378010319797,2017/18
Gend3_2,3.46988877979412,0.2879190940176499,0.34978078586600825,34.421925476356435,1.17072109815883,0.10464378010319797,2017/18
Age9_1,0.9581581114979486,0.7313627208459036,0.7506935714268149,1.2229583435547213,0.1244998726970632,0.10464378010319797,2017/18
Age9_2,0.9726379655575721,0.8303097077412809,0.7546692284041441,1.2535619267854303,0.12945767838156105,0.10464378010319797,2017/18
Age9_3,1.0063593875994592,0.961476940117524,0.7781004909940675,1.3015789460763625,0.13124672258651673,0.10464378010319797,2017/18
Age9_4,0.8218730955335168,0.15162014790629894,0.6285616877841514,1.0746365842676113,0.1368146691638639,0.10464378010319797,2017/18
Age9_5,0.589762386008323,0.0005468050578516584,0.4371701408782386,0.7956162588128487,0.15275651228558387,0.10464378010319797,2017/18
Age9_6,0.5921648335723404,0.0101665652763078,0.39710709790700977,0.8830343047705262,0.20387059253859782,0.10464378010319797,2017/18
Age9_7,0.2587857586535121,6.334066136902171e-07,0.15202937061964966,0.44050744016707777,0.2713962128797317,0.10464378010319797,2017/18
Eth7_1,0.6951033273765855,4.613227344404884e-09,0.6154962859562392,0.7850065820939058,0.062058076853065795,0.10464378010319797,2017/18
Eth7_2,0.43057210970561133,4.986841005850209e-34,0.37589622655059673,0.4932008585390433,0.06928785480322741,0.10464378010319797,2017/18
Eth7_3,0.4141454411192253,4.2799062649863705e-23,0.34780596262206726,0.4931383151306432,0.08906922523181848,0.10464378010319797,2017/18
Eth7_4,0.604800753560054,0.0011012982179629583,0.447142784471689,0.8180473088456357,0.1540952289210698,0.10464378010319797,2017/18
Eth7_5,0.9232127159354176,0.544218097768975,0.713117751003363,1.1952047437686493,0.13174380550094655,0.10464378010319797,2017/18
Eth7_6,0.47262107538686904,8.498684360180916e-09,0.36620614877649804,0.6099588487143822,0.1301541954169025,0.10464378010319797,2017/18
IMD10_1,0.8571980445973966,0.0513320065497767,0.734133969725761,1.0008915510830863,0.07907158072607545,0.10464378010319797,2017/18
IMD10_2,0.9751402039575074,0.7686612018720207,0.8245433815702,1.1532424353021522,0.08558907443634042,0.10464378010319797,2017/18
IMD10_3,0.93120425882651,0.4326182057943867,0.7793448811222337,1.1126542210785701,0.09083074029767446,0.10464378010319797,2017/18
IMD10_4,0.8370378350664534,0.05730764719225884,0.6967743149576003,1.0055369755921177,0.09357708134867089,0.10464378010319797,2017/18
IMD10_5,0.9495671584949741,0.5965041843672778,0.7840176802005278,1.150073284395318,0.09774398318999049,0.10464378010319797,2017/18
IMD10_6,1.0435541336543603,0.6807453670072108,0.8517596581960406,1.2785358162812372,0.10361578481205166,0.10464378010319797,2017/18
IMD10_7,0.9921929474149132,0.9432406274326874,0.7996364677612077,1.2311179949760296,0.11008385073621617,0.10464378010319797,2017/18
IMD10_8,1.0918294015829746,0.3989623008136989,0.890216144945601,1.3391033727363844,0.10415784541143434,0.10464378010319797,2017/18
IMD10_9,0.8923537826599092,0.4061020935534385,0.6820933431567602,1.1674285952449797,0.13709239461668624,0.10464378010319797,2017/18
Child4_1,0.8342776303247745,0.09226825952261719,0.6756187259187716,1.0301951940627565,0.10762306689867329,0.10464378010319797,2017/18
Child4_2,0.7751167065621523,0.0307172959499738,0.6151954086596404,0.9766098711639707,0.11789688685839572,0.10464378010319797,2017/18
Child4_3,0.8186343957046467,0.17823941333863214,0.6117236473696226,1.0955310894263648,0.14865424020453916,0.10464378010319797,2017/18
WorkStat8_1,1.0349833341488928,0.610793986627217,0.9066172753638685,1.181524476837306,0.06756257304025802,0.10464378010319797,2017/18
WorkStat8_2,0.9414704568318335,0.6046983960323571,0.7492604939804113,1.1829885977016619,0.1165104351395591,0.10464378010319797,2017/18
WorkStat8_3,1.038127387341168,0.6937415593334421,0.8617210707510734,1.2506465362492207,0.09502324890490986,0.10464378010319797,2017/18
WorkStat8_4,0.9655620598364099,0.7547890305666793,0.7749463624910174,1.2030640267781596,0.11220438828226047,0.10464378010319797,2017/18
WorkStat8_5,0.4882110821366229,1.0615962265328684e-05,0.35483977886947116,0.6717117834995892,0.16279967374031007,0.10464378010319797,2017/18
WorkStat8_6,1.5698355557569434,0.0026309165325971873,1.1701268868642303,2.1060824255759996,0.14993065249953916,0.10464378010319797,2017/18
WorkStat8_7,1.1612455706434552,0.2646801761036638,0.8929768666791595,1.5101077370054063,0.1340268507614447,0.10464378010319797,2017/18
HHLiv9_1,1.3440409315488904,0.00845328101782061,1.0785469184948204,1.6748886809669972,0.11228063832880973,0.10464378010319797,2017/18
HHLiv9_2,0.9505863010862564,0.6470442572050835,0.7652130495542717,1.1808663173467788,0.11067788172458723,0.10464378010319797,2017/18
