LA_2023,lifesat,lone,worthw,indev,happy,comm1,comm2,anxious,motivex2a,motivex2b,motivex2c,motivex2d,inclus_a,inclus_b,inclus_c,VolAny,IMD10
8.0,6.603448275862069,3.3073684210526317,6.85632183908046,3.7167630057803467,6.687861271676301,2.930635838150289,2.806060606060606,4.068965517241379,1.9230769230769231,2.2797356828193833,2.8866666666666667,2.6808035714285716,2.28080229226361,2.4222873900293256,2.388888888888889,0.13144329896907217,2.7824351297405188
9.0,6.956284153005464,3.47008547008547,7.291208791208791,3.6648351648351647,7.054644808743169,3.230769230769231,3.039772727272727,3.568306010928962,1.711578947368421,2.1987315010570825,2.9544468546637743,2.7311827956989245,2.2690058479532165,2.403030303030303,2.293768545994065,0.20270270270270271,6.601226993865031
17.0,6.827586206896552,3.429175475687104,7.32183908045977,3.6954022988505746,7.051724137931035,3.2471264367816093,2.863905325443787,3.5804597701149423,1.8458333333333334,2.3572938689217757,2.9129511677282376,2.823404255319149,2.252840909090909,2.3284457478005867,2.318051575931232,0.17662337662337663,6.671399594320487
30.0,6.787878787878788,3.4258872651356995,6.853535353535354,3.7222222222222223,6.848484848484849,3.1155778894472363,2.872448979591837,3.909090909090909,1.7160493827160495,2.1464435146443517,2.874730021598272,2.588865096359743,2.2416666666666667,2.360230547550432,2.2219020172910664,0.13994910941475827,4.26232741617357
35.0,6.772486772486772,3.5838509316770186,6.978835978835979,3.6666666666666665,6.804232804232805,3.375661375661376,2.9946524064171123,4.0476190476190474,1.7526427061310783,2.217021276595745,2.8535031847133756,2.728051391862955,2.198776758409786,2.325227963525836,2.214067278287462,0.2206703910614525,7.526104417670683
44.0,6.66,3.265720081135903,7.005025125628141,3.715,6.8059701492537314,3.235,2.8979591836734695,3.675,1.6961770623742454,2.13184584178499,3.018595041322314,2.6168032786885247,2.139473684210526,2.353099730458221,2.2255434782608696,0.1707920792079208,5.388998035363458
59.0,7.676470588235294,3.643478260869565,7.745098039215686,3.980392156862745,7.617647058823529,3.892156862745098,3.089108910891089,1.303921568627451,2.0401785714285716,2.369369369369369,3.0136986301369864,2.709090909090909,2.1320754716981134,2.150326797385621,2.04375,0.04390243902439024,7.8626609442060085
68.0,6.6378378378378375,3.3618290258449304,7.1530054644808745,3.6775956284153004,6.825136612021858,3.291208791208791,2.8222222222222224,3.5956284153005464,1.878727634194831,2.321285140562249,2.899193548387097,2.726,2.2891246684350133,2.4043715846994536,2.347708894878706,0.17718446601941748,5.557471264367816
78.0,6.860576923076923,3.4695121951219514,7.100961538461538,3.5961538461538463,6.860576923076923,3.2451923076923075,2.9849246231155777,3.605769230769231,1.7455621301775148,2.140873015873016,2.8862275449101795,2.6467065868263475,2.203045685279188,2.272020725388601,2.2519280205655527,0.21933962264150944,5.198095238095238
91.0,6.240223463687151,3.4279749478079333,6.776536312849162,3.6089385474860336,6.446927374301676,2.966292134831461,2.8411764705882354,3.3184357541899443,1.8212765957446808,2.2965367965367967,2.8344086021505377,2.728448275862069,2.2225705329153604,2.3026315789473686,2.343949044585987,0.2175141242937853,5.142
107.0,6.904392764857882,3.358050847457627,6.9147286821705425,3.733160621761658,7.044041450777202,3.205194805194805,2.8663101604278074,3.768041237113402,1.7995802728226653,2.1917372881355934,2.948202959830867,2.660998937300744,2.2222222222222223,2.3792613636363638,2.271448663853727,0.16817593790426907,4.568113017154389
109.0,6.67741935483871,3.20507399577167,7.144385026737968,3.6470588235294117,6.716577540106952,3.2192513368983957,2.962566844919786,3.7058823529411766,1.6779661016949152,1.947939262472885,2.7833698030634575,2.547252747252747,2.0787172011661808,2.2244897959183674,2.247813411078717,0.14133333333333334,2.993951612903226
112.0,6.856353591160221,3.300829875518672,7.05524861878453,3.6629834254143647,7.077348066298343,3.2444444444444445,2.8983050847457625,3.9502762430939224,1.616326530612245,2.1101871101871104,2.9411764705882355,2.5302713987473906,2.1922005571030643,2.297994269340974,2.153409090909091,0.1586021505376344,4.886868686868687
114.0,6.8431372549019605,3.3072407045009786,7.267326732673268,3.768472906403941,6.857142857142857,3.267326732673267,2.871794871794872,3.748768472906404,1.6634241245136188,2.0550098231827114,2.8432539682539684,2.570576540755467,2.160621761658031,2.293963254593176,2.1298701298701297,0.16826923076923078,4.419172932330827
117.0,6.895,3.467991169977925,7.226130653266332,3.7336683417085426,7.03,3.297979797979798,2.890625,3.7889447236180906,1.714902807775378,2.139689578713969,2.8674157303370786,2.608108108108108,2.1300578034682083,2.2936046511627906,2.208823529411765,0.2127659574468085,6.84133611691023
122.0,7.056497175141243,3.481876332622601,7.2824858757062145,3.7005649717514126,7.146892655367232,3.2598870056497176,2.8947368421052633,3.3220338983050848,1.8832599118942732,2.36784140969163,2.934684684684685,2.836322869955157,2.2225705329153604,2.3121019108280256,2.2253086419753085,0.17086834733893558,6.647916666666666
126.0,7.102150537634409,3.5639913232104123,7.311827956989247,3.5913978494623655,7.17741935483871,3.247311827956989,2.8444444444444446,3.4838709677419355,1.8207343412526997,2.230088495575221,2.869757174392936,2.635164835164835,2.2093023255813953,2.4035608308605343,2.3026706231454006,0.18229166666666666,6.46734693877551
129.0,6.7967032967032965,3.2829373650107994,6.873626373626373,3.707182320441989,6.835164835164835,3.1712707182320443,2.9069767441860463,3.9395604395604398,1.7876857749469215,2.148706896551724,2.9344978165938866,2.770065075921909,2.2639296187683287,2.405325443786982,2.272727272727273,0.21842105263157896,4.959016393442623
135.0,6.557291666666667,3.1710794297352343,6.795811518324608,3.654450261780105,6.583333333333333,3.157068062827225,2.8756756756756756,3.7916666666666665,1.694331983805668,2.1049382716049383,2.930327868852459,2.5925925925925926,2.314516129032258,2.4135135135135135,2.3523035230352303,0.13513513513513514,3.8500986193293887
136.0,7.034090909090909,3.4098712446351933,7.4772727272727275,3.7329545454545454,7.1875,3.340909090909091,2.941860465116279,3.72,1.6033755274261603,2.093681917211329,2.9295154185022025,2.597374179431072,2.0922619047619047,2.293939393939394,2.1707317073170733,0.15384615384615385,5.093877551020408
139.0,6.864583333333333,3.404081632653061,7.0625,3.7083333333333335,6.828125,3.3854166666666665,3.0106951871657754,3.765625,1.7020408163265306,2.179381443298969,2.903157894736842,2.729896907216495,2.2,2.3884057971014494,2.1919770773638967,0.19220779220779222,7.712574850299402
142.0,6.869346733668341,3.3207171314741037,6.85929648241206,3.748743718592965,6.8542713567839195,3.2525252525252526,2.9476439790575917,3.6733668341708543,1.6653465346534653,2.1504950495049506,3.0059880239520957,2.676528599605523,2.1662198391420913,2.2288828337874658,2.152354570637119,0.19095477386934673,4.11969111969112
147.0,6.830917874396135,3.204081632653061,7.043689320388349,3.6650485436893203,6.864077669902913,3.2524271844660193,2.9901477832512313,3.9320388349514563,1.718052738336714,2.020703933747412,2.9201680672268906,2.59375,2.155263157894737,2.2773333333333334,2.2440944881889764,0.14320987654320988,3.9960552268244576
160.0,7.1313131313131315,3.4008179959100207,7.362244897959184,3.802030456852792,7.338383838383838,3.3197969543147208,2.894179894179894,3.414141414141414,1.7165991902834008,2.125,2.9609856262833674,2.597535934291581,2.0897097625329817,2.2452830188679247,2.125668449197861,0.2009685230024213,7.280078895463511
171.0,6.767326732673268,3.2971175166297115,7.034653465346534,3.7192118226600983,6.9950495049504955,2.990049751243781,2.8010204081632653,3.9207920792079207,1.7903930131004366,2.130820399113082,2.92,2.5794183445190155,2.252054794520548,2.3426183844011144,2.372972972972973,0.1707920792079208,3.103734439834025
196.0,7.088235294117647,3.443708609271523,7.151960784313726,3.7794117647058822,7.034313725490196,3.0980392156862746,2.8585858585858586,4.034313725490196,1.7130620985010707,2.0995670995670994,2.9321663019693656,2.6427015250544663,2.321022727272727,2.3649425287356323,2.3459302325581395,0.18622448979591838,6.063008130081301
