id,lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2,status,total_pop,asian,black,mixed,white,other,simpsons_index,crime_count,pop_per_km2,lifesat,lone,worthw,indev,happy,comm1,comm2,anxious,motivex2a,motivex2b,motivex2c,motivex2d,inclus_a,inclus_b,inclus_c,VolAny,IMD10,MEMS7_ALL,MEMS7_OUT_SPORTCOUNT_A01,MEMS7_IN_SPORTCOUNT_A01,MEMS7_SPORTCOUNT_A01
114.0,E09000014,Haringey,318.273817284378,6.24930253205267,432719.634247146,276,264238,0.087345499133357,0.1758490451789674,0.0702245702737683,0.5698688303726186,0.0967120550412885,0.6224126814000892,529.0,9916.182256823658,6.8431372549019605,3.307240704500978,7.267326732673268,3.768472906403941,6.857142857142857,3.267326732673267,2.871794871794872,3.748768472906404,1.6634241245136188,2.0550098231827114,2.8432539682539684,2.570576540755467,2.160621761658031,2.293963254593176,2.1298701298701297,0.1682692307692307,4.419172932330827,814.9600563909775,456.7416267942584,157.6315789473684,755.8651315789474
126.0,E09000017,Hillingdon,590.904033747186,2.48939927558954,324232.603370393,469,305907,0.3332319953449905,0.0783081132501054,0.0436701350410418,0.4818032931577244,0.0629864632061378,0.6448154881382557,534.0,2787.2846227950204,7.102150537634409,3.5639913232104123,7.311827956989247,3.591397849462365,7.17741935483871,3.247311827956989,2.844444444444445,3.4838709677419355,1.8207343412527,2.230088495575221,2.869757174392936,2.635164835164835,2.2093023255813957,2.4035608308605343,2.3026706231454006,0.1822916666666666,6.46734693877551,631.6326530612245,390.3743315508021,149.62566844919786,563.2938775510204
9.0,E09000003,Barnet,390.89684829137,3.43107275599666,500258.731901527,512,389344,0.1925597928823867,0.0787247267198159,0.0536517835127804,0.577283841538588,0.0977798553464288,0.6110270958807622,537.0,4784.427280050652,6.956284153005464,3.47008547008547,7.291208791208791,3.6648351648351647,7.054644808743169,3.230769230769231,3.039772727272727,3.568306010928962,1.711578947368421,2.1987315010570825,2.9544468546637743,2.7311827956989245,2.2690058479532165,2.403030303030303,2.293768545994065,0.2027027027027027,6.601226993865031,757.7965235173824,579.0837837837838,202.3716216216216,692.2126789366054
129.0,E09000018,Hounslow,429.466688264034,2.82835338329387,649132.523395126,423,288181,0.3672900017697211,0.0722115614839285,0.0468941394470836,0.4409832709304222,0.0726210263688445,0.65794442596221,515.0,5169.1460017301115,6.7967032967032965,3.2829373650108,6.873626373626373,3.707182320441989,6.835164835164835,3.1712707182320443,2.9069767441860463,3.93956043956044,1.7876857749469215,2.148706896551724,2.934497816593886,2.770065075921909,2.2639296187683287,2.405325443786982,2.272727272727273,0.2184210526315789,4.959016393442623,692.9871926229508,505.4045698924731,104.01478494623656,624.7392418032787
139.0,E09000021,Kingston upon Thames,738.994773051425,1.60161516518569,2490337.27426461,275,168065,0.1781334602683485,0.02820932377354,0.0535269092315473,0.6832535031089162,0.0568768036176479,0.4945372540728157,467.0,5003.438431465502,6.864583333333333,3.404081632653061,7.0625,3.7083333333333335,6.828125,3.3854166666666665,3.0106951871657754,3.765625,1.7020408163265306,2.179381443298969,2.903157894736842,2.729896907216495,2.2,2.3884057971014494,2.1919770773638967,0.1922077922077922,7.712574850299402,846.7639720558882,514.5179487179487,145.25641025641025,773.5239520958083
160.0,E09000024,Merton,390.693247110359,3.60493873445122,848749.504336441,302,215187,0.1859731303470934,0.106358655494988,0.0593204979854731,0.6023458666183366,0.0460018495541087,0.5856461965143631,499.0,5758.498570807324,7.131313131313132,3.4008179959100207,7.362244897959184,3.802030456852792,7.338383838383838,3.3197969543147208,2.894179894179894,3.414141414141414,1.7165991902834008,2.125,2.960985626283368,2.597535934291581,2.0897097625329817,2.2452830188679247,2.125668449197861,0.2009685230024213,7.280078895463511,741.5473372781065,484.4949494949495,192.66035353535352,692.4536489151874
171.0,E09000025,Newham,351.916119575732,3.60130319198363,490125.401357429,223,351030,0.4221491040651796,0.1746346466114007,0.0467737800188018,0.3075150272056519,0.0489274420989659,0.6921457010949895,553.0,10221.559577649725,6.767326732673268,3.2971175166297115,7.034653465346534,3.7192118226600974,6.995049504950496,2.990049751243781,2.8010204081632653,3.9207920792079207,1.7903930131004366,2.130820399113082,2.92,2.5794183445190155,2.252054794520548,2.3426183844011144,2.372972972972973,0.1707920792079208,3.103734439834025,698.9968879668049,427.8995215311005,136.79904306220095,682.2935684647302
8.0,E09000002,Barking and Dagenham,326.582513922692,3.23540582383322,737451.329227849,205,218871,0.2585221431802294,0.213856563912076,0.0425821602679203,0.4490087768594286,0.0360303557803455,0.6827113629496797,498.0,6214.914626381317,6.603448275862069,3.307368421052632,6.85632183908046,3.7167630057803462,6.687861271676301,2.930635838150289,2.806060606060606,4.068965517241379,1.9230769230769231,2.2797356828193838,2.8866666666666667,2.680803571428572,2.28080229226361,2.4222873900293256,2.388888888888889,0.1314432989690721,2.7824351297405188,592.5838323353294,310.5657142857143,80.31714285714285,524.4615768463074
35.0,E09000006,Bromley,487.445814682215,2.96516881672147,340115.544834811,645,329991,0.0827507416868944,0.0762111693955289,0.0537590419132643,0.7645511544254238,0.0227278925788885,0.3993991129878771,515.0,2281.6015347052034,6.772486772486772,3.583850931677018,6.978835978835979,3.6666666666666665,6.804232804232805,3.375661375661376,2.9946524064171123,4.047619047619048,1.7526427061310783,2.217021276595745,2.853503184713376,2.728051391862955,2.198776758409786,2.325227963525836,2.214067278287462,0.2206703910614525,7.526104417670683,832.0803212851406,516.6413612565445,193.34685863874344,725.9633534136547
109.0,E09000012,Hackney,262.713879347415,6.78947508733174,442884.873319659,154,259147,0.1037442069558976,0.2108648759198447,0.0674790755825844,0.5313933790474132,0.08651846249426,0.6503553503371218,526.0,15450.239579191064,6.67741935483871,3.20507399577167,7.144385026737968,3.647058823529412,6.716577540106952,3.219251336898396,2.962566844919786,3.7058823529411766,1.6779661016949152,1.947939262472885,2.783369803063457,2.547252747252747,2.0787172011661808,2.224489795918368,2.247813411078717,0.1413333333333333,2.993951612903226,801.5070564516129,567.7948717948718,237.87692307692308,779.0488911290323
