lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2
E08000021,Newcastle upon Tyne,358.720980286969,5.69010056837749,680146.025943544
E08000022,North Tyneside,473.777559798625,3.25381364975016,433838.11825497
E08000023,South Tyneside,398.688958588476,4.5931315834242,437293.649532229
E08000024,Sunderland,649.245587122819,1.83119454265732,225048.284502224
E08000037,Gateshead,460.870577557377,4.91869174534804,385365.633822051
E06000001,Hartlepool,619.22706977866,1.46761181291515,111850.012515072
E06000002,Middlesbrough,744.031319142934,2.05060311426286,211606.872285455
E06000003,Redcar and Cleveland,774.181827161167,1.60069747071038,112757.523280539
E06000004,Stockton-on-Tees,810.454222607173,1.49200914655891,429622.05921742
E06000005,Darlington,962.446802848582,1.46156773040366,122409.345993233
E06000047,County Durham,1174.01702371897,1.30789333114914,113827.163071299
E06000057,Northumberland,1481.82437555316,1.49659283122417,236992.488660802
E07000026,Allerdale,1409.03989604577,1.3215980432501,196001.248411949
E07000027,Barrow-in-Furness,998.45372801337,1.71217211128081,129276.660922729
E07000028,Carlisle,1076.85763236772,1.25494462783328,183632.752126731
E07000029,Copeland,1620.09524760646,1.06487302176917,48823.1335893918
E07000030,Eden,1993.40063373848,1.12415583442362,169697.689673836
E07000031,South Lakeland,1560.00013081265,1.27751607733877,86958.7734446338
E07000117,Burnley,570.571718426225,2.98402716376953,155237.979831504
E07000118,Chorley,1121.35307845329,1.10111656957008,1557772.8531564
E07000119,Fylde,1246.74137764725,1.18798850305464,76206.0023725123
E07000120,Hyndburn,474.323934777054,2.39752660633161,112153.9086754
E07000121,Lancaster,880.43999982637,3.18777245375489,145031.634156932
E07000122,Pendle,643.32453272536,2.02177174863963,98965.4684278277
E07000123,Preston,707.420427426576,1.63915353858382,276934.092586348
E07000124,Ribble Valley,1427.5147351552,1.3450166438671,139355.190316122
E07000125,Rossendale,608.669061061193,1.79171814226617,46457.2711794688
E07000126,South Ribble,863.242632353376,1.81466272355621,315094.553351002
E07000127,West Lancashire,1456.19043258276,2.49486367369722,488055.299452419
E07000128,Wyre,1026.37551288223,1.37229664123074,142046.920738634
E08000001,Bolton,643.12123137833,1.98765498747688,338146.497033604
E08000002,Bury,596.47213429851,2.4244126248939,839606.84087618
E08000003,Manchester,429.521427142507,2.86598402447736,289345.563943051
E08000004,Oldham,696.447462454196,1.72213913338701,127990.947107508
E08000005,Rochdale,736.58488290039,1.7741385389069,226061.322764201
E08000006,Salford,521.73380423536,2.28696491245647,306112.465717996
E08000007,Stockport,506.896363667749,2.44221205117919,570619.36729703
E08000008,Tameside,573.345967252421,1.95291710238781,334681.311712561
E08000009,Trafford,546.30103481313,2.21013304506055,93519.3081704642
E08000010,Wigan,732.375437161746,1.97809032095467,519630.52943446
E08000011,Knowsley,325.714484504564,4.28662121893625,376625.041895561
E08000012,Liverpool,361.436054791973,4.65884893094448,535263.956281808
E08000013,St. Helens,459.995757111499,2.56473824629645,345580.255671766
E08000014,Sefton,534.583846848181,2.96796295155827,301591.65060361
