Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motivation_PC_Q,motivd_POP
10,5.4%,"55–64 (58%), 45–54 (37%), 65–74 (5%)","Male (62%), Female (38%), Other (0%)","White British (68%), Asian (excl. Chinese) (13%), White Other (11%)","No disability (95%), Disability (5%)","Level 4 or above (83%), Level 3 and equivalents (9%), Level 2 and equivalents (6%)","NS SEC 1–2: Higher social groups (89%), NS SEC 3–5: Middle social groups (9%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (16%), Third least deprived decile (13%), Fifth most deprived decile (13%)","Working full time (81%), Working part time (10%), Not working-retired (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (43%), Couple, no children (31%), Single person living alone (16%)","Lowest (32%), Moderate (21%), Low (20%)","Disagree (45%), Strongly disagree (31%), Neither agree nor disagree (18%)"
11,4.0%,"55–64 (43%), 45–54 (33%), 35–44 (11%)","Male (59%), Female (41%), Other (0%)","White British (70%), White Other (11%), Asian (excl. Chinese) (9%)","No disability (93%), Disability (7%)","Level 2 and equivalents (42%), Level 3 and equivalents (27%), No qualifications (9%)","NS SEC 3–5: Middle social groups (60%), NS SEC 1–2: Higher social groups (18%), NS SEC 6–8: Lower social groups (18%)","Second most deprived decile (18%), Third most deprived decile (16%), Fourth most deprived decile (13%)","Working full time (78%), Working part time (13%), Other (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (34%), Single person living alone (26%), Couple with adult children (21%)","Highest (31%), High (25%), Moderate (18%)","Disagree (43%), Strongly disagree (26%), Neither agree nor disagree (25%)"
12,1.6%,"35–44 (36%), 25–34 (27%), 45–54 (27%)","Female (95%), Male (5%), Other (1%)","White British (60%), Black (14%), White Other (8%)","No disability (69%), Disability (31%)","Level 2 and equivalents (41%), Level 3 and equivalents (32%), No qualifications (12%)","NS SEC 6–8: Lower social groups (37%), NS SEC 3–5: Middle social groups (34%), NS SEC 1–2: Higher social groups (26%)","Second most deprived decile (30%), Third most deprived decile (19%), Most deprived decile (15%)","Working part time (39%), Not working-looking after house/children (21%), Unemployed (15%)","1 child (50%), 2 children (34%), 3 or more children (16%)","Lone parent family (55%), Couple with children (33%), Multi-generational household (6%)","Highest (41%), High (27%), Moderate (16%)","Disagree (44%), Strongly disagree (32%), Neither agree nor disagree (18%)"
13,3.9%,"75–84 (90%), 85+ (10%), 65–74 (0%)","Male (58%), Female (42%), Other (0%)","White British (85%), White Other (7%), Asian (excl. Chinese) (5%)","No disability (82%), Disability (18%)","Level 4 or above (62%), Level 2 and equivalents (13%), No qualifications (8%)","Not applicable (75+) (100%), NS SEC 9: Students and other / unclassified (0%), NS SEC 6–8: Lower social groups (0%)","Second least deprived decile (15%), Third least deprived decile (14%), Fourth least deprived decile (14%)","Not working-retired (86%), Working part time (8%), Other (3%)","None (100%), 1 child (0%), 2 children (0%)","Couple, no children (56%), Single person living alone (36%), Couple with adult children (3%)","High (27%), Moderate (22%), Highest (19%)","Disagree (44%), Neither agree nor disagree (27%), Strongly disagree (22%)"
14,6.7%,"45–54 (37%), 35–44 (29%), 55–64 (28%)","Female (51%), Male (49%), Other (0%)","White British (69%), White Other (20%), Other ethnic group (3%)","No disability (88%), Disability (12%)","Level 4 or above (89%), Level 3 and equivalents (7%), Level 2 and equivalents (3%)","NS SEC 1–2: Higher social groups (85%), NS SEC 3–5: Middle social groups (14%), NS SEC 9: Students and other / unclassified (1%)","Third most deprived decile (17%), Second most deprived decile (17%), Fourth most deprived decile (13%)","Working full time (76%), Working part time (14%), Other (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (55%), Couple, no children (35%), Houseshare (6%)","Highest (22%), Lowest (21%), High (19%)","Disagree (44%), Strongly disagree (38%), Neither agree nor disagree (14%)"
15,0.6%,"55–64 (48%), 65–74 (41%), 45–54 (9%)","Male (53%), Female (47%), Other (0%)","White British (61%), Asian (excl. Chinese) (16%), White Other (8%)","No disability (74%), Disability (26%)","Level 4 or above (54%), Level 2 and equivalents (20%), Level 3 and equivalents (10%)","NS SEC 1–2: Higher social groups (60%), NS SEC 3–5: Middle social groups (26%), NS SEC 6–8: Lower social groups (10%)","Fifth most deprived decile (13%), Fourth most deprived decile (13%), Third most deprived decile (13%)","Not working-retired (45%), Working part time (22%), Working full time (16%)","1 child (72%), 2 children (21%), 3 or more children (6%)","Couple with children (37%), Multi-generational household (31%), Other/complex household (18%)","Highest (26%), Moderate (20%), High (20%)","Disagree (40%), Strongly disagree (29%), Neither agree nor disagree (22%)"
16,3.3%,"16–24 (99%), 25–34 (0%), 75–84 (0%)","Female (57%), Male (43%), Other (0%)","Asian (excl. Chinese) (29%), White British (29%), Black (17%)","No disability (92%), Disability (8%)","Level 2 and equivalents (45%), Level 3 and equivalents (36%), Level 4 or above (10%)","NS SEC 9: Students and other / unclassified (96%), NS SEC 6–8: Lower social groups (2%), NS SEC 1–2: Higher social groups (1%)","Second most deprived decile (20%), Third most deprived decile (15%), Fourth most deprived decile (12%)","Student (99%), Other (1%), Unemployed (0%)","None (49%), 1 child (33%), 2 children (13%)","Living with parents (84%), Other/complex household (12%), Multi-generational household (2%)","High (21%), Highest (21%), Lowest (20%)","Disagree (39%), Strongly disagree (34%), Neither agree nor disagree (16%)"
17,1.9%,"16–24 (65%), 25–34 (30%), 35–44 (4%)","Female (63%), Male (36%), Other (1%)","White British (36%), White Other (22%), Chinese (13%)","No disability (88%), Disability (12%)","Level 4 or above (71%), Level 3 and equivalents (25%), Level 2 and equivalents (3%)","NS SEC 9: Students and other / unclassified (97%), NS SEC 6–8: Lower social groups (2%), NS SEC 3–5: Middle social groups (1%)","Third most deprived decile (19%), Second most deprived decile (19%), Fourth most deprived decile (13%)","Student (98%), Other (1%), Unemployed (1%)","None (100%), 2 children (0%), 3 or more children (0%)","Houseshare (42%), Single person living alone (20%), Couple, no children (17%)","Lowest (24%), Low (21%), Moderate (21%)","Disagree (40%), Strongly disagree (33%), Neither agree nor disagree (15%)"
18,1.7%,"25–34 (56%), 16–24 (18%), 35–44 (17%)","Female (56%), Male (43%), Other (0%)","Asian (excl. Chinese) (62%), Black (19%), Chinese (7%)","No disability (93%), Disability (7%)","Level 4 or above (91%), Level 3 and equivalents (5%), Level 2 and equivalents (2%)","NS SEC 1–2: Higher social groups (82%), NS SEC 3–5: Middle social groups (15%), NS SEC 6–8: Lower social groups (2%)","Second most deprived decile (19%), Third most deprived decile (18%), Fourth most deprived decile (17%)","Working full time (82%), Working part time (8%), Unemployed (6%)","None (89%), 1 child (8%), 2 children (2%)","Living with parents (69%), Other/complex household (15%), Single person living alone (12%)","Lowest (24%), Moderate (22%), High (22%)","Strongly disagree (36%), Disagree (35%), Neither agree nor disagree (16%)"
19,2.0%,"35–44 (50%), 25–34 (33%), 45–54 (13%)","Female (92%), Male (8%), Other (0%)","Asian (excl. Chinese) (41%), White Other (19%), Black (17%)","No disability (90%), Disability (10%)","Level 4 or above (52%), Level 3 and equivalents (12%), No qualifications (11%)","NS SEC 6–8: Lower social groups (49%), NS SEC 9: Students and other / unclassified (17%), NS SEC 3–5: Middle social groups (17%)","Second most deprived decile (28%), Third most deprived decile (21%), Most deprived decile (15%)","Not working-looking after house/children (40%), Working part time (24%), Unemployed (17%)","2 children (38%), 1 child (35%), 3 or more children (27%)","Couple with children (61%), Lone parent family (27%), Other/complex household (8%)","High (25%), Moderate (22%), Lowest (19%)","Disagree (43%), Strongly disagree (28%), Neither agree nor disagree (17%)"
20,8.5%,"25–34 (60%), 35–44 (33%), 45–54 (7%)","Male (55%), Female (45%), Other (0%)","White British (63%), White Other (18%), Asian (excl. Chinese) (10%)","No disability (96%), Disability (4%)","Level 4 or above (96%), Level 3 and equivalents (3%), Level 2 and equivalents (1%)","NS SEC 1–2: Higher social groups (98%), NS SEC 3–5: Middle social groups (2%), NS SEC 9: Students and other / unclassified (0%)","Third most deprived decile (16%), Second most deprived decile (14%), Fourth most deprived decile (14%)","Working full time (99%), Unemployed (1%), Not working-looking after house/children (0%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (65%), Single person living alone (29%), Houseshare (3%)","Lowest (37%), Moderate (19%), Low (18%)","Disagree (42%), Strongly disagree (28%), Neither agree nor disagree (17%)"
21,3.4%,"35–44 (41%), 45–54 (31%), 25–34 (25%)","Female (93%), Male (6%), Other (0%)","White Other (29%), White British (25%), Black (23%)","No disability (90%), Disability (10%)","Level 4 or above (85%), Level 3 and equivalents (8%), Level 2 and equivalents (4%)","NS SEC 1–2: Higher social groups (84%), NS SEC 3–5: Middle social groups (15%), NS SEC 9: Students and other / unclassified (1%)","Second most deprived decile (24%), Third most deprived decile (16%), Fourth most deprived decile (13%)","Working full time (64%), Working part time (23%), Not working-looking after house/children (5%)","1 child (67%), 2 children (27%), 3 or more children (6%)","Couple with children (52%), Lone parent family (37%), Other/complex household (7%)","Moderate (22%), High (21%), Lowest (19%)","Strongly disagree (42%), Disagree (41%), Neither agree nor disagree (11%)"
22,5.4%,"35–44 (57%), 45–54 (29%), 25–34 (14%)","Female (100%), Male (0%), Other (0%)","White British (61%), White Other (19%), Asian (excl. Chinese) (14%)","No disability (95%), Disability (5%)","Level 4 or above (86%), Level 3 and equivalents (9%), Level 2 and equivalents (4%)","NS SEC 1–2: Higher social groups (78%), NS SEC 3–5: Middle social groups (20%), NS SEC 6–8: Lower social groups (1%)","Second least deprived decile (14%), Third least deprived decile (12%), Fourth least deprived decile (12%)","Working part time (51%), Not working-looking after house/children (24%), Working full time (21%)","2 children (52%), 1 child (36%), 3 or more children (12%)","Couple with children (92%), Lone parent family (6%), Other/complex household (1%)","Moderate (25%), Lowest (22%), High (19%)","Disagree (49%), Strongly disagree (30%), Neither agree nor disagree (15%)"
23,3.9%,"65–74 (85%), 55–64 (15%), 35–44 (0%)","Female (57%), Male (43%), Other (0%)","White British (79%), Asian (excl. Chinese) (9%), White Other (6%)","No disability (73%), Disability (27%)","Level 2 and equivalents (30%), No qualifications (29%), Level 3 and equivalents (13%)","NS SEC 3–5: Middle social groups (54%), NS SEC 6–8: Lower social groups (20%), NS SEC 1–2: Higher social groups (20%)","Second most deprived decile (15%), Third most deprived decile (13%), Fourth most deprived decile (12%)","Not working-retired (83%), Working part time (10%), Other (3%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (46%), Single person living alone (35%), Couple with adult children (9%)","Highest (29%), High (28%), Moderate (20%)","Disagree (45%), Neither agree nor disagree (28%), Strongly disagree (20%)"
24,10.2%,"65–74 (73%), 55–64 (27%), 16–24 (0%)","Female (51%), Male (49%), Other (0%)","White British (82%), White Other (9%), Asian (excl. Chinese) (4%)","No disability (86%), Disability (14%)","Level 4 or above (80%), Level 2 and equivalents (8%), Level 3 and equivalents (8%)","NS SEC 1–2: Higher social groups (85%), NS SEC 3–5: Middle social groups (13%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (15%), Third least deprived decile (13%), Fifth least deprived decile (12%)","Not working-retired (75%), Working part time (18%), Working full time (3%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (52%), Single person living alone (33%), Couple with adult children (8%)","High (22%), Moderate (20%), Lowest (19%)","Disagree (45%), Strongly disagree (31%), Neither agree nor disagree (19%)"
