serial,year,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
160990229253681.0,2016/17,2,0,0,1,0,0,2,0,0,0,1,4
160990229253682.0,2016/17,3,0,0,1,5,1,2,0,0,3,4,4
160990229263782.0,2016/17,1,0,0,1,0,0,7,0,0,3,0,4
160990229266081.0,2016/17,1,1,3,1,0,1,2,0,0,0,0,4
160990229272182.0,2016/17,1,1,1,1,0,0,2,0,0,1,0,3
160990239274681.0,2016/17,3,0,2,1,1,1,1,1,1,4,0,4
160990239274682.0,2016/17,2,1,2,1,1,2,1,1,1,8,1,1
160990239275381.0,2016/17,5,0,0,1,0,1,6,3,0,3,0,2
160990239280181.0,2016/17,2,0,1,1,0,0,1,2,0,3,1,3
160990239292581.0,2016/17,4,0,0,0,1,2,2,2,0,0,3,4
160990269347682.0,2016/17,4,1,0,1,0,0,8,1,0,5,2,2
160990269372881.0,2016/17,3,0,2,1,0,0,4,0,0,0,2,3
160990269378881.0,2016/17,6,0,0,1,4,4,6,3,0,0,2,2
160990279405682.0,2016/17,0,1,0,1,0,0,8,0,0,7,0,3
160990279408081.0,2016/17,1,0,2,1,0,0,8,0,0,7,0,4
160990279408083.0,2016/17,0,0,0,1,0,2,8,1,0,3,1,3
160990279410581.0,2016/17,4,1,0,0,0,0,7,3,0,3,1,3
160990279410582.0,2016/17,4,0,0,1,0,0,7,0,0,3,0,3
160990289431781.0,2016/17,1,1,4,1,0,0,1,0,0,3,0,4
160990299449982.0,2016/17,3,1,0,1,0,1,9,1,1,4,0,2
160990309482082.0,2016/17,1,1,1,1,0,0,3,2,0,1,0,3
160990319499982.0,2016/17,3,0,0,1,5,0,0,0,0,7,0,4
160990319512681.0,2016/17,0,0,2,1,1,3,0,0,2,7,1,3
160990329525882.0,2016/17,4,1,1,1,0,0,3,3,0,3,0,4
160990329528881.0,2016/17,3,1,6,1,0,0,3,0,0,2,0,2
160990329531781.0,2016/17,2,1,0,1,0,0,6,0,0,0,2,3
160990339553582.0,2016/17,5,0,0,1,0,0,3,0,0,1,0,3
160990339563881.0,2016/17,2,1,2,1,0,0,3,0,0,0,1,3
160990339568981.0,2016/17,2,0,2,1,0,1,1,0,1,6,1,3
161090017523181.0,2016/17,2,0,3,1,0,0,2,0,0,1,0,4
161090017529981.0,2016/17,2,1,5,0,0,3,8,6,0,3,1,4
161090017530182.0,2016/17,2,1,0,0,0,0,8,0,1,4,2,4
161090017531981.0,2016/17,5,1,0,1,0,0,5,3,0,3,1,3
161090017535081.0,2016/17,0,1,2,1,1,3,4,6,0,0,2,1
161090027544381.0,2016/17,2,0,2,1,0,0,1,7,0,3,1,2
161090027552681.0,2016/17,3,1,3,1,0,0,2,0,0,0,2,2
161090027555382.0,2016/17,5,1,0,0,5,0,2,3,0,3,0,2
161090027559681.0,2016/17,3,1,2,1,0,0,0,0,0,0,0,3
161090027561481.0,2016/17,1,1,2,1,4,0,0,0,0,3,1,3
161090027561681.0,2016/17,5,1,0,1,0,0,1,3,0,0,3,4
161090027563481.0,2016/17,3,1,1,1,4,1,1,1,2,6,0,3
161090027569582.0,2016/17,1,1,2,1,2,1,1,1,2,4,2,4
161090027570181.0,2016/17,2,0,3,1,0,0,0,0,2,4,1,4
161090027572881.0,2016/17,3,0,3,1,0,0,1,1,1,2,1,3
161090037585081.0,2016/17,3,0,0,1,0,0,8,0,2,4,0,3
161090037591081.0,2016/17,0,1,2,0,1,3,1,6,0,7,3,3
161090037591082.0,2016/17,0,1,2,1,0,3,1,6,0,7,1,3
161090037594181.0,2016/17,2,1,0,1,0,0,7,0,1,4,1,4
161090037594981.0,2016/17,1,1,5,1,0,0,1,0,0,3,1,3
161090037595081.0,2016/17,6,1,0,1,4,4,7,1,0,0,1,3
161090037596481.0,2016/17,6,1,0,0,4,4,5,1,0,3,2,3
161090037600281.0,2016/17,3,0,2,1,0,0,1,0,0,3,1,2
161090037603982.0,2016/17,6,1,0,0,0,4,4,3,0,0,0,4
161090037607881.0,2016/17,3,1,2,1,0,0,3,4,1,4,0,3
161090037607882.0,2016/17,2,0,2,1,0,0,3,0,1,4,0,3
161090037607981.0,2016/17,1,1,2,1,1,2,5,1,3,4,0,4
161090037608682.0,2016/17,0,1,2,1,2,3,4,6,1,7,0,4
161090037614581.0,2016/17,2,0,2,1,0,1,1,0,0,0,1,3
161090037615182.0,2016/17,3,1,0,1,0,0,6,7,0,0,1,2
161090047618282.0,2016/17,5,1,0,0,4,0,3,3,0,0,1,4
161090047619881.0,2016/17,4,1,0,1,2,1,4,0,1,4,1,4
161090047625282.0,2016/17,2,1,3,1,0,0,1,0,0,0,1,4
161090047629381.0,2016/17,3,1,0,1,0,0,5,1,2,2,0,2
161090047635981.0,2016/17,3,1,4,1,5,1,2,1,0,2,1,3
161090047635982.0,2016/17,0,0,4,1,0,2,2,1,0,7,1,3
161090057642181.0,2016/17,4,1,3,1,0,1,4,1,0,7,1,4
161090057642182.0,2016/17,6,0,3,0,5,4,4,3,0,2,4,4
161090057649781.0,2016/17,2,1,1,1,0,0,2,1,2,4,0,4
161090057649782.0,2016/17,2,0,0,1,0,0,2,0,2,4,0,1
161090057662282.0,2016/17,6,0,3,0,4,4,0,3,0,0,1,2
161090067669982.0,2016/17,0,0,0,1,2,3,9,6,0,7,0,4
161090077684381.0,2016/17,0,1,2,1,0,3,0,6,0,1,3,3
161090077685381.0,2016/17,7,1,1,0,0,4,5,3,0,1,3,1
161090077685382.0,2016/17,4,1,1,1,0,0,5,1,0,3,0,3
161090077691681.0,2016/17,1,1,3,1,0,0,0,1,3,4,1,3
161090077696081.0,2016/17,6,0,0,1,0,4,4,3,0,0,3,2
161090077698382.0,2016/17,5,1,6,1,0,0,3,3,0,3,0,3
161090077698581.0,2016/17,5,1,5,0,0,0,3,3,0,3,2,3
161090077704482.0,2016/17,2,1,6,1,4,2,6,2,2,7,1,4
161090077706781.0,2016/17,2,1,1,1,0,0,0,0,0,0,0,4
161090077709981.0,2016/17,0,0,2,1,1,0,2,1,0,8,1,4
161090077709982.0,2016/17,0,0,2,1,2,2,2,1,0,8,4,2
161090077714081.0,2016/17,1,1,4,1,0,0,3,0,0,0,3,1
161090077714082.0,2016/17,1,1,4,1,0,0,3,0,0,0,1,1
161090087716882.0,2016/17,7,1,1,0,4,4,6,3,0,2,2,2
161090087717381.0,2016/17,2,1,0,1,0,0,3,1,3,2,0,3
161090097732882.0,2016/17,3,1,0,1,0,0,2,0,0,3,0,3
161090097735481.0,2016/17,1,1,2,1,0,0,3,1,1,4,2,4
161090097743981.0,2016/17,1,0,1,1,0,0,2,0,1,4,1,3
161090097743982.0,2016/17,1,1,1,1,2,1,2,0,1,4,3,3
161090097746381.0,2016/17,3,0,5,1,0,0,7,0,3,4,1,3
161090097749882.0,2016/17,3,0,0,1,0,0,5,0,2,4,1,2
161090097752681.0,2016/17,3,0,1,1,0,1,2,0,1,4,0,2
161090097752682.0,2016/17,2,1,2,1,0,2,2,4,1,4,0,2
161090107760781.0,2016/17,4,0,0,1,1,2,3,1,0,3,1,2
161090107763181.0,2016/17,2,1,0,1,0,0,6,4,1,4,1,3
161090107763981.0,2016/17,2,0,5,1,0,0,5,0,0,0,0,4
161090107779881.0,2016/17,4,1,1,1,0,0,1,0,0,0,0,4
161090107782582.0,2016/17,3,1,2,1,0,0,0,1,1,8,1,2
161090107793081.0,2016/17,1,0,0,1,0,0,4,0,0,3,1,1
161090107796281.0,2016/17,2,0,1,1,0,0,2,0,1,4,1,2
161090107802081.0,2016/17,5,1,0,1,2,1,7,1,0,3,1,3
161090107804981.0,2016/17,0,1,6,1,0,3,2,6,0,7,1,1
161090107805281.0,2016/17,4,1,3,1,2,0,2,0,0,0,1,4
161090107810081.0,2016/17,2,1,3,1,0,0,4,0,2,2,0,4
161090107810582.0,2016/17,6,0,3,1,5,4,5,3,0,3,2,2
161090107810781.0,2016/17,7,0,0,0,0,4,6,3,0,3,2,3
161090117814281.0,2016/17,3,0,3,1,0,1,1,0,1,4,0,3
161090117817281.0,2016/17,2,1,0,0,4,2,2,4,3,4,2,3
161090117817282.0,2016/17,3,0,3,1,2,1,2,7,3,4,1,2
161090117817481.0,2016/17,2,0,0,1,0,0,6,0,3,4,0,4
161090117821381.0,2016/17,6,1,0,0,0,4,4,3,0,0,1,3
161090127831781.0,2016/17,3,1,1,1,0,0,0,0,3,4,0,4
161090127835681.0,2016/17,1,0,1,1,0,0,0,0,0,3,0,4
161090127837081.0,2016/17,2,1,0,1,0,0,1,4,0,0,0,4
161090127838782.0,2016/17,3,1,3,1,0,1,0,1,0,0,0,3
161090127838881.0,2016/17,2,1,2,1,3,2,0,4,2,4,1,4
161090127851781.0,2016/17,4,1,0,1,0,0,4,1,0,3,1,4
161090127857381.0,2016/17,3,1,0,1,0,0,3,0,1,2,0,3
161090147862381.0,2016/17,1,1,5,1,0,0,7,0,0,0,1,4
161090147862581.0,2016/17,5,0,0,1,0,0,7,3,0,3,0,4
161090147864181.0,2016/17,3,0,0,1,0,0,4,0,0,0,1,4
161090147865481.0,2016/17,1,1,1,1,0,0,4,0,0,0,1,3
161090147866381.0,2016/17,2,1,1,1,0,0,4,0,0,1,0,4
161090147869282.0,2016/17,0,0,1,1,1,3,6,6,0,7,0,2
161090147870081.0,2016/17,3,1,0,1,1,0,5,0,0,0,1,2
161090147877681.0,2016/17,3,1,2,1,3,2,0,2,1,4,2,2
161090147877682.0,2016/17,0,1,2,1,0,3,0,6,1,7,2,2
