LCA_Class,calendar_year,N,Sum_wt_final,Mean_wt_final,Mean_active,Mean_MEMS7_ALL,Median_MEMS7_ALL,SD_MEMS7_ALL,Mean_MEMS7_SPORTCOUNT_A01,Median_MEMS7_SPORTCOUNT_A01,Mean_MEMS7_IN_SPORTCOUNT_A01,Median_MEMS7_IN_SPORTCOUNT_A01,Mean_MEMS7_OUT_SPORTCOUNT_A01,Median_MEMS7_OUT_SPORTCOUNT_A01,Mean_MEMS7_FITNESS_B06,Median_MEMS7_FITNESS_B06,Mean_MEMS7_WALKALL_C01,Median_MEMS7_WALKALL_C01,Mean_MEMS7_CYCALL_C02,Median_MEMS7_CYCALL_C02,Mean_MEMS7_ACTTRAV_C03,Median_MEMS7_ACTTRAV_C03,Mean_MEMS7_DANCEALL_C04,Median_MEMS7_DANCEALL_C04,Mean_MEMS7_TEAMSPORT_C05,Median_MEMS7_TEAMSPORT_C05,Mean_MEMS7_RACKETSPORT_C06,Median_MEMS7_RACKETSPORT_C06,Mean_MEMS7_ADVWATERSPORT_C07,Median_MEMS7_ADVWATERSPORT_C07,Mean_MEMS7_LEISURE_C08,Median_MEMS7_LEISURE_C08,Mean_MEMS7_COMBATTARGET_C09,Median_MEMS7_COMBATTARGET_C09,Mean_MEMS7_WINTER_C10,Median_MEMS7_WINTER_C10,Mean_MEMS7_RUNATHMULTI_C11,Median_MEMS7_RUNATHMULTI_C11,Median_ACT7GR_ALL,Median_ACT7GR_SPORTCOUNT_A01,Mean_Number_Activities,Median_Number_Activities,Mean_CLUB_SPORTCOUNT_A01,Mean_Number_Club,Median_Number_Club,Mean_VolAny,Mean_VolCnt,Median_VolCnt,Mean_VolDur,Median_VolDur,Mean_VolFrqB_Pop,Median_VolFrqB_Pop,Mean_volint1,Mean_volint2,Mean_volint3,Mean_volint4,Mean_volint5,Mean_volint6,Mean_volint7,Mean_DVBMI,Median_DVBMI,Mean_FruitVegPor,Median_FruitVegPor
0,2016,66,187.0682404822655,2.834367280034326,0.6515151515151515,887.219696969697,307.5,1378.8863319270706,1351.8636363636363,300.0,233.7962962962963,0.0,458.14814814814815,45.0,284.65909090909093,0.0,381.8333333333333,18.75,231.4469696969697,0.0,300.6212121212121,0.0,4.545454545454546,0.0,96.04545454545455,0.0,12.31060606060606,0.0,30.681818181818183,0.0,60.0,0.0,60.0,0.0,80.0,0.0,126.81818181818181,0.0,4.0,4.0,2.4545454545454546,1.0,0.3023255813953488,1.372093023255814,0.0,0.2857142857142857,0.7428571428571429,0.0,,,0.15789473684210525,0.0,0.17142857142857143,0.08571428571428572,0.17142857142857143,0.11428571428571428,0.05714285714285714,0.08571428571428572,0.05714285714285714,25.755235810972845,24.8145871367149,4.491525423728813,4.0
0,2017,392,1189.110916141974,3.033446214647893,0.5586734693877551,637.8794642857143,203.75,1094.5608159327717,595.7308673469388,166.25,79.00442477876106,0.0,426.70575221238937,45.0,126.05293367346938,0.0,264.70599489795916,0.0,81.54081632653062,0.0,200.05994897959184,0.0,7.910714285714286,0.0,41.77295918367347,0.0,12.57079081632653,0.0,7.908163265306122,0.0,1.9706632653061225,0.0,2.4872448979591835,0.0,8.26530612244898,0.0,37.66581632653061,0.0,4.0,4.0,1.663265306122449,1.0,0.2675438596491228,0.43859649122807015,0.0,0.2574626865671642,0.44029850746268656,0.0,,,0.13284132841328414,0.0,0.11194029850746269,0.09701492537313433,0.05223880597014925,0.048507462686567165,0.048507462686567165,0.03731343283582089,0.04477611940298507,26.552054099091663,26.01456815816857,4.8,4.0
0,2018,320,1244.5820331738596,3.8893188536683114,0.60625,621.07265625,277.25,944.0328763888226,590.60234375,240.0,200.78773584905662,0.0,459.0919811320755,136.25,126.99921875,0.0,232.8984375,0.0,120.234375,0.0,207.171875,0.0,10.77421875,0.0,40.35,0.0,9.14765625,0.0,5.203125,0.0,0.34375,0.0,6.0,0.0,5.34375,0.0,34.6875,0.0,4.0,0.0,1.6375,1.0,0.21428571428571427,0.32653061224489793,0.0,0.18867924528301888,0.3490566037735849,0.0,,,0.09473684210526316,0.0,0.07547169811320754,0.08962264150943396,0.06132075471698113,0.02358490566037736,0.02830188679245283,0.02358490566037736,0.04716981132075472,26.527863055948508,26.028920179847226,4.568965517241379,4.0
0,2019,270,939.9153611163532,3.4811680041346413,0.6,548.2157407407408,240.0,851.0633262570037,496.1972222222222,191.25,109.73809523809524,0.0,484.0095238095238,142.5,85.48425925925926,0.0,246.53703703703704,0.0,71.51944444444445,0.0,176.91203703703704,0.0,11.36111111111111,0.0,30.61111111111111,0.0,11.648148148148149,0.0,1.4592592592592593,0.0,1.6111111111111112,0.0,1.2222222222222223,0.0,0.16666666666666666,0.0,19.881481481481483,0.0,4.0,0.0,1.5148148148148148,1.0,0.22413793103448276,0.49137931034482757,0.0,0.25443786982248523,0.44970414201183434,0.0,3.375,4.0,0.8275862068965517,0.0,0.13609467455621302,0.11242603550295859,0.0650887573964497,0.029585798816568046,0.04142011834319527,0.029585798816568046,0.03550295857988166,26.191688470312815,25.51665977143187,4.32806324110672,4.0
0,2020,222,732.1462788056292,3.2979562108361677,0.5135135135135135,560.5765765765766,150.0,1028.0483755326331,518.6959459459459,120.0,86.98660714285714,0.0,449.828125,11.25,58.1981981981982,0.0,300.6114864864865,0.0,83.65990990990991,0.0,217.8355855855856,0.0,15.43918918918919,0.0,29.5777027027027,0.0,2.9279279279279278,0.0,12.93918918918919,0.0,2.2635135135135136,0.0,2.3603603603603602,0.0,0.0,0.0,31.213963963963963,0.0,0.0,0.0,1.2387387387387387,1.0,0.2616822429906542,0.5327102803738317,0.0,0.1643835616438356,0.3013698630136986,0.0,2.838709677419355,3.0,0.34579439252336447,0.0,0.0593607305936073,0.0730593607305936,0.0502283105022831,0.0273972602739726,0.0319634703196347,0.0136986301369863,0.045662100456621,26.27874069708815,26.40445925540655,4.4754901960784315,4.0
0,2021,283,843.960290744084,2.982191840085102,0.5265017667844523,489.8904593639576,157.5,856.3095987525458,526.4593639575971,120.0,152.4491869918699,0.0,554.1686991869918,105.0,85.49646643109541,0.0,212.8100706713781,0.0,72.93639575971731,0.0,133.8047703180212,0.0,8.42756183745583,0.0,45.96731448763251,0.0,12.597173144876326,0.0,30.335689045936395,0.0,5.750883392226148,0.0,9.222614840989399,0.0,0.0,0.0,27.553003533568905,0.0,0.0,0.0,1.4169611307420495,1.0,0.1485148514851485,0.16831683168316833,0.0,0.11160714285714286,0.19642857142857142,0.0,3.2083333333333335,3.0,0.25675675675675674,0.0,0.05357142857142857,0.03571428571428571,0.044642857142857144,0.004464285714285714,0.013392857142857142,0.026785714285714284,0.017857142857142856,26.72448398162587,26.04300736781273,3.1142857142857143,3.0
0,2022,255,787.5667364335548,3.0884970056217833,0.5686274509803921,691.663725490196,225.0,1130.814315721895,724.7264705882353,187.5,134.9056603773585,0.0,782.3584905660377,225.0,84.2,0.0,277.2127450980392,0.0,186.4107843137255,0.0,242.52745098039216,0.0,13.638235294117647,0.0,94.15686274509804,0.0,29.235294117647058,0.0,22.058823529411764,0.0,11.509803921568627,0.0,8.470588235294118,0.0,0.0,0.0,40.641176470588235,0.0,0.0,0.0,1.5254901960784313,1.0,0.17796610169491525,0.3728813559322034,0.0,0.15639810426540285,0.2037914691943128,0.0,3.0689655172413794,3.0,0.3300970873786408,0.0,0.037914691943127965,0.04739336492890995,0.04739336492890995,0.023696682464454975,0.009478672985781991,0.018957345971563982,0.018957345971563982,27.287499274148995,26.550353783754147,3.125,3.0
0,2023,220,667.0924150122281,3.0322382500555825,0.5636363636363636,669.8465909090909,240.0,1163.1477323649292,630.2102272727273,185.0,78.18235294117648,0.0,594.45,150.0,108.6590909090909,0.0,269.53977272727275,15.0,88.96136363636364,0.0,180.52272727272728,0.0,16.78409090909091,0.0,57.30909090909091,0.0,14.477272727272727,0.0,25.920454545454547,0.0,12.875,0.0,3.8181818181818183,0.0,6.613636363636363,0.0,49.10454545454545,0.0,0.0,0.0,1.6636363636363636,1.0,0.11818181818181818,0.2590909090909091,0.0,0.19021739130434784,0.34782608695652173,0.0,3.1333333333333333,3.0,0.43646408839779005,0.0,0.07608695652173914,0.05434782608695652,0.07065217391304347,0.05434782608695652,0.02717391304347826,0.02717391304347826,0.03804347826086957,26.779478518596612,25.75347873380737,2.990049751243781,3.0
1,2016,77,98.24303010495044,1.2758835078564992,0.6493506493506493,540.5032467532468,285.0,749.9833676812642,532.5162337662338,285.0,163.23275862068965,0.0,261.07758620689657,120.0,162.5974025974026,0.0,252.7435064935065,90.0,40.25974025974026,0.0,193.32792207792207,30.0,44.188311688311686,0.0,2.6298701298701297,0.0,2.987012987012987,0.0,11.46103896103896,0.0,0.0,0.0,0.5194805194805194,0.0,0.0,0.0,47.3051948051948,0.0,4.0,4.0,2.064935064935065,2.0,0.375,0.6607142857142857,0.0,0.2127659574468085,0.2553191489361702,0.0,,,0.02127659574468085,0.0,0.0851063829787234,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,25.66415019976904,24.928794899312194,4.909090909090909,5.0
1,2017,516,707.5775178978587,1.3712742594919742,0.6046511627906976,550.6700581395348,247.5,869.5324657593362,534.3183139534884,225.0,147.10798816568047,0.0,319.2618343195266,100.0,146.4622093023256,0.0,243.77761627906978,60.0,40.64341085271318,0.0,160.56056201550388,0.0,44.11821705426357,0.0,4.637596899224806,0.0,4.578488372093023,0.0,11.77422480620155,0.0,5.077519379844961,0.0,8.299418604651162,0.0,3.7209302325581395,0.0,32.58042635658915,0.0,4.0,4.0,1.9147286821705427,1.0,0.3238095238095238,0.5587301587301587,0.0,0.22522522522522523,0.34534534534534533,0.0,,,0.09467455621301775,0.0,0.10510510510510511,0.057057057057057055,0.042042042042042045,0.009009009009009009,0.03903903903903904,0.021021021021021023,0.07207207207207207,25.08904821275106,24.03075305457173,5.502,5.0
