LCA_Class,year,N,Sum_wt_final,Mean_wt_final,Mean_MEMS7_ALL,Median_MEMS7_ALL,SD_MEMS7_ALL,Mean_MEMS7_SPORTCOUNT_A01,Median_MEMS7_SPORTCOUNT_A01,Mean_MEMS7_IN_SPORTCOUNT_A01,Median_MEMS7_IN_SPORTCOUNT_A01,Mean_MEMS7_OUT_SPORTCOUNT_A01,Median_MEMS7_OUT_SPORTCOUNT_A01,Mean_MEMS7_FITNESS_B06,Median_MEMS7_FITNESS_B06,Mean_MEMS7_WALKALL_C01,Median_MEMS7_WALKALL_C01,Mean_MEMS7_CYCALL_C02,Median_MEMS7_CYCALL_C02,Mean_MEMS7_ACTTRAV_C03,Median_MEMS7_ACTTRAV_C03,Mean_MEMS7_DANCEALL_C04,Median_MEMS7_DANCEALL_C04,Mean_MEMS7_TEAMSPORT_C05,Median_MEMS7_TEAMSPORT_C05,Mean_MEMS7_RACKETSPORT_C06,Median_MEMS7_RACKETSPORT_C06,Mean_MEMS7_ADVWATERSPORT_C07,Median_MEMS7_ADVWATERSPORT_C07,Mean_MEMS7_LEISURE_C08,Median_MEMS7_LEISURE_C08,Mean_MEMS7_COMBATTARGET_C09,Median_MEMS7_COMBATTARGET_C09,Mean_MEMS7_WINTER_C10,Median_MEMS7_WINTER_C10,Mean_MEMS7_RUNATHMULTI_C11,Median_MEMS7_RUNATHMULTI_C11,Median_ACT7GR_ALL,Median_ACT7GR_SPORTCOUNT_A01,Mean_Number_Activities,Median_Number_Activities,Mean_CLUB_SPORTCOUNT_A01,Mean_Number_Club,Median_Number_Club,Mean_VolAny,Mean_VolCnt,Median_VolCnt,Mean_VolDur,Median_VolDur,Mean_VolFrqB_Pop,Median_VolFrqB_Pop,Mean_volint1,Mean_volint2,Mean_volint3,Mean_volint4,Mean_volint5,Mean_volint6,Mean_volint7,Mean_DVBMI,Median_DVBMI,Mean_FruitVegPor,Median_FruitVegPor
0,2016/17,404,1201.8362368190042,2.9748421703440697,786.059405940594,240.0,2355.4757602119475,721.5,210.0,103.6875,0.0,370.1770833333333,40.0,155.31621287128712,0.0,283.5142326732673,0.0,104.65841584158416,0.0,217.06621287128712,0.0,5.1138613861386135,0.0,54.43440594059406,0.0,12.401608910891088,0.0,12.407178217821782,0.0,11.788366336633663,0.0,11.992574257425742,0.0,21.08910891089109,0.0,54.12747524752475,0.0,4.0,4.0,1.8787128712871286,1.0,0.2834008097165992,0.6234817813765182,0.0,0.25274725274725274,0.46153846153846156,0.0,,,0.13405797101449277,0.0,0.11355311355311355,0.09523809523809523,0.06593406593406594,0.06227106227106227,0.047619047619047616,0.03663003663003663,0.040293040293040296,26.501320202924102,25.61728395061728,4.7795275590551185,4.0
0,2017/18,326,1163.584546624075,3.5692777503805986,652.092791411043,307.5,1198.8424559748773,584.8888036809816,243.75,192.29901960784315,0.0,509.5220588235294,187.5,119.0713190184049,0.0,234.47315950920245,0.0,115.74003067484662,0.0,197.39877300613497,0.0,11.253834355828221,0.0,37.15490797546012,0.0,11.40260736196319,0.0,6.641104294478527,0.0,0.3374233128834356,0.0,6.1656441717791415,0.0,5.245398773006135,0.0,26.96319018404908,0.0,4.0,0.0,1.677914110429448,1.0,0.2549019607843137,0.4019607843137255,0.0,0.20754716981132076,0.3867924528301887,0.0,,,0.11363636363636363,0.0,0.08018867924528301,0.09433962264150944,0.05660377358490566,0.0330188679245283,0.02358490566037736,0.03773584905660377,0.06132075471698113,26.3029185339556,25.854976872988026,4.513245033112582,4.0
0,2018/19,283,1038.7029241961206,3.670328354049896,537.5220848056537,232.5,843.1547856947527,501.0379858657244,193.75,126.6359649122807,0.0,474.64912280701753,127.5,76.56802120141343,0.0,244.55035335689047,0.0,82.7773851590106,0.0,186.55742049469964,0.0,21.242049469964666,0.0,23.445229681978798,0.0,10.318021201413428,0.0,1.480565371024735,0.0,1.5371024734982333,0.0,1.1660777385159011,0.0,0.053003533568904596,0.0,24.10070671378092,0.0,4.0,0.0,1.4558303886925794,1.0,0.205607476635514,0.3644859813084112,0.0,0.24855491329479767,0.4393063583815029,0.0,,,,,0.12138728323699421,0.11560693641618497,0.08092485549132948,0.023121387283236993,0.05202312138728324,0.017341040462427744,0.028901734104046242,26.530358042875836,25.95155709342561,4.458646616541353,4.0
0,2019/20,215,679.7931661691309,3.161828679856423,583.5488372093023,150.0,964.3420090684884,522.2813953488372,122.5,105.63084112149532,0.0,426.1518691588785,0.0,75.0906976744186,0.0,297.00348837209305,0.0,88.86279069767441,0.0,214.90813953488373,0.0,19.08139534883721,0.0,17.49418604651163,0.0,5.186046511627907,0.0,11.19767441860465,0.0,1.686046511627907,0.0,2.0186046511627906,0.0,0.13953488372093023,0.0,19.8,0.0,0.0,0.0,1.2697674418604652,1.0,0.26851851851851855,0.6481481481481481,0.0,0.19534883720930232,0.3209302325581395,0.0,3.0,3.0,0.4095238095238095,0.0,0.07441860465116279,0.07441860465116279,0.05116279069767442,0.03255813953488372,0.037209302325581395,0.0,0.05116279069767442,25.94538101543322,26.035105400184765,4.805,4.0
0,2020/21,272,807.3643124866344,2.9682511488479206,568.2178308823529,168.75,1964.4309125234117,522.4237132352941,137.5,155.1463963963964,0.0,535.509009009009,90.0,89.98345588235294,0.0,211.27389705882354,0.0,75.70772058823529,0.0,120.84742647058823,0.0,7.610294117647059,0.0,45.29319852941177,0.0,11.121323529411764,0.0,33.455882352941174,0.0,6.424632352941177,0.0,7.830882352941177,0.0,0.0,0.0,25.88235294117647,0.0,0.0,0.0,1.4411764705882353,1.0,0.16981132075471697,0.29245283018867924,0.0,0.08755760368663594,0.16589861751152074,0.0,3.0,3.0,0.24074074074074073,0.0,0.04608294930875576,0.02304147465437788,0.03225806451612903,0.009216589861751152,0.013824884792626729,0.027649769585253458,0.013824884792626729,26.521058583596893,25.687482900574004,3.2563025210084033,3.0
0,2021/22,265,814.0258701355699,3.071795736360641,763.0641509433963,240.0,2127.169940020993,696.2292452830188,195.0,106.44067796610169,0.0,772.9025423728814,183.75,78.68773584905661,0.0,256.5943396226415,0.0,187.62169811320754,0.0,218.72169811320754,0.0,2.830188679245283,0.0,97.9622641509434,0.0,29.0,0.0,18.358490566037737,0.0,11.075471698113208,0.0,8.787735849056604,0.0,0.0,0.0,36.77735849056604,0.0,0.0,0.0,1.5773584905660378,1.0,0.2376237623762376,0.5346534653465347,0.0,0.136986301369863,0.1872146118721461,0.0,3.08,3.0,0.2916666666666667,0.0,0.045662100456621,0.0410958904109589,0.045662100456621,0.0182648401826484,0.0045662100456621,0.0136986301369863,0.0182648401826484,27.250015648476925,26.550353783754147,3.1913043478260867,3.0
0,2022/23,252,784.7202890886168,3.113969401145305,652.2271825396825,225.0,1185.3236556109873,606.5525793650794,180.0,83.91145833333333,0.0,595.9453125,172.5,103.64583333333333,0.0,274.96031746031747,27.5,79.58928571428571,0.0,190.5952380952381,0.0,21.607142857142858,0.0,52.63095238095238,0.0,12.817460317460318,0.0,25.009920634920636,0.0,9.097222222222221,0.0,3.3333333333333335,0.0,5.773809523809524,0.0,43.71230158730159,0.0,0.0,0.0,1.5555555555555556,1.0,0.11507936507936507,0.25,0.0,0.19534883720930232,0.35348837209302325,0.0,3.081081081081081,3.0,0.42857142857142855,0.0,0.07441860465116279,0.05581395348837209,0.07441860465116279,0.046511627906976744,0.03255813953488372,0.03255813953488372,0.037209302325581395,26.87436430887446,25.826446280991732,2.9051724137931036,2.0
1,2016/17,927,1393.2257032748305,1.5029403487322874,748.5558252427185,430.0,1002.5669770065022,735.4096548004316,412.5,226.3739316239316,15.0,508.3440170940171,217.5,206.48435814455232,0.0,256.1324163969795,75.0,104.2470334412082,0.0,197.9460625674218,10.0,38.351941747572816,0.0,19.57928802588997,0.0,14.43797195253506,0.0,33.400485436893206,0.0,6.599244875943905,0.0,7.297734627831715,0.0,14.808522114347356,0.0,67.00485436893204,0.0,4.0,4.0,2.5447680690399137,2.0,0.46111111111111114,0.8666666666666667,0.0,0.18617021276595744,0.28900709219858156,0.0,,,0.07420494699646643,0.0,0.10106382978723404,0.014184397163120567,0.06028368794326241,0.02127659574468085,0.028368794326241134,0.024822695035460994,0.03900709219858156,24.13642257818149,23.456790123456788,5.249723756906078,5.0
1,2017/18,822,1436.409797077189,1.7474571740598408,764.0352798053528,435.0,972.4083811894119,750.8327250608272,426.0,237.0024193548387,38.75,493.06774193548387,225.0,217.3926399026764,0.0,274.0155109489051,86.25,95.44464720194647,0.0,208.2889294403893,30.0,38.3397201946472,0.0,16.9860097323601,0.0,12.828467153284672,0.0,58.50851581508516,0.0,0.7709854014598541,0.0,5.514598540145985,0.0,8.242092457420924,0.0,56.76459854014598,0.0,4.0,1.0,2.6155717761557176,2.0,0.48405797101449277,0.9043478260869565,0.0,0.14596949891067537,0.23311546840958605,0.0,,,0.057815845824411134,0.0,0.06535947712418301,0.02832244008714597,0.04793028322440087,0.02178649237472767,0.02178649237472767,0.015250544662309368,0.032679738562091505,23.810290596280062,23.148148148148145,5.082089552238806,5.0
1,2018/19,850,1440.307660805798,1.6944796009479977,840.9838235294118,496.25,1161.5444813960296,822.4085294117647,490.0,252.60683760683762,45.0,556.4551282051282,302.5,248.58588235294118,15.0,318.35264705882355,120.0,117.61823529411765,0.0,225.70117647058822,45.0,34.22294117647059,0.0,18.63235294117647,0.0,8.362058823529411,0.0,60.364117647058826,0.0,0.5117647058823529,0.0,7.04235294117647,0.0,5.885294117647059,0.0,64.79617647058824,0.0,4.0,1.0,2.736470588235294,2.0,0.5119047619047619,0.9107142857142857,1.0,0.15247524752475247,0.25544554455445545,0.0,,,,,0.08316831683168317,0.02178217821782178,0.04554455445544554,0.007920792079207921,0.03564356435643564,0.02574257425742574,0.03564356435643564,24.040764607974836,23.47968915853865,4.98927294398093,5.0
