Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
1,0,2,0,4,2,2,2,0,3,1.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,10.0,4.0,4.0,5.0,10.0,,,,0.3924544499200515,0.3797086581021841,-0.012745791817867391,0.3924544499200515,0.5367917399637926,0.14433729004374107,0.3924544499200515,0.36631293013637106,-0.026141519783680456,0.3924544499200515,0.356900272228026,-0.03555417769202551,0.3924544499200515,0.42092346441792444,0.028469014497872924,0.3924544499200515,0.36197421419084425,-0.030480235729207272,0.3924544499200515,0.3937594839861641,0.001305034066112598,0.3924544499200515,0.23861924673339502,-0.1538352031866565,,,,,,,,,,,,,13
4,1,2,0,4,0,7,5,0,5,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,10.0,3.0,4.0,4.0,10.0,,,,0.18550905324059966,0.20791122624431935,0.02240217300371969,0.18550905324059966,0.18550905324059966,0.0,0.18550905324059966,0.14822323932381545,-0.037285813916784205,0.18550905324059966,0.18550905324059966,0.0,0.18550905324059966,0.18550905324059966,0.0,0.18550905324059966,0.21201915527661933,0.026510102036019667,0.18550905324059966,0.16181661213001075,-0.023692441110588908,0.18550905324059966,0.18550905324059966,0.0,0.18550905324059966,0.27893487788032206,0.0934258246397224,,,,0.18550905324059966,0.1799071687014263,-0.005601884539173346,,,,12
5,0,0,0,0,0,6,3,0,3,2.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,7.0,4.0,4.0,4.0,9.0,0.7284104093194627,0.8592601451944394,0.13084973587497672,0.7284104093194627,0.7209423614983149,-0.007468047821147739,0.7284104093194627,0.7433751072210389,0.014964697901576285,0.7284104093194627,0.7187493306355653,-0.009661078683897317,,,,0.7284104093194627,0.7316277296970016,0.003217320377538968,0.7284104093194627,0.8943085144831666,0.16589810516370396,0.7284104093194627,0.640476921513579,-0.08793348780588361,0.7284104093194627,0.6935360708110809,-0.03487433850838173,0.7284104093194627,0.46740738676564736,-0.2610030225538153,0.7284104093194627,0.737399717462761,0.008989308143298347,0.7284104093194627,0.6764038233439322,-0.05200658597553043,0.7284104093194627,0.7868994404803411,0.058489031160878446,7
3,0,3,0,0,2,3,0,0,0,3.0,3.0,2.0,2.0,1.0,7.0,3.0,3.0,8.0,4.0,4.0,4.0,7.0,0.4259157593975141,0.8165039531548578,0.3905881937573437,0.4259157593975141,0.5701270996111004,0.14421134021358634,0.4259157593975141,0.4033715304632607,-0.022544228934253396,0.4259157593975141,0.35665366459407893,-0.06926209480343515,0.4259157593975141,0.4194298868157049,-0.00648587258180916,0.4259157593975141,0.28864411756838865,-0.13727164182912543,,,,0.4259157593975141,0.40418566827653873,-0.021730091120975348,0.4259157593975141,0.47569123684173187,0.049775477444217786,0.4259157593975141,0.4027868661448313,-0.023128893252682803,0.4259157593975141,0.3918903368984882,-0.034025422499025904,0.4259157593975141,0.44557297095928794,0.019657211561773857,0.4259157593975141,0.3743771498133037,-0.05153860958421036,14
1,1,5,0,1,0,3,0,0,1,1.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,4.0,4.0,4.0,5.0,,,,,,,0.9584170306981197,0.9599788833258845,0.0015618526277648703,0.9584170306981197,0.9179319644001235,-0.0404850662979962,0.9584170306981197,0.9584170306981197,0.0,0.9584170306981197,0.9741397300821272,0.0157226993840075,0.9584170306981197,0.967752904445462,0.00933587374734235,0.9584170306981197,0.9563004406864983,-0.0021165900116213443,0.9584170306981197,0.8768495582383404,-0.08156747245977924,0.9584170306981197,0.9455951940666196,-0.01282183663150005,0.9584170306981197,0.9800321220955143,0.021615091397394592,0.9584170306981197,0.9603433594088439,0.0019263287107241789,0.9584170306981197,0.9576538300582125,-0.0007632006399072022,11
0,1,6,0,2,2,7,1,0,7,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,7.0,3.0,3.0,3.0,5.0,,,,0.4066014284462524,0.3995850652166284,-0.007016363229624012,0.4066014284462524,0.46330277118709895,0.05670134274084654,0.4066014284462524,0.4066014284462524,0.0,0.4066014284462524,0.45620325947819657,0.049601831031944155,0.4066014284462524,0.37208198154993116,-0.03451944689632125,0.4066014284462524,0.44111031686096946,0.034508888414717054,0.4066014284462524,0.3371977745802354,-0.06940365386601699,0.4066014284462524,0.4066014284462524,0.0,0.4066014284462524,0.3938429742370134,-0.01275845420923899,0.4066014284462524,0.3279158963447333,-0.07868553210151913,0.4066014284462524,0.472553117561892,0.06595168911563959,0.4066014284462524,0.6085748654602835,0.2019734370140311,25
2,1,0,0,0,1,4,0,0,0,5.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0,0.17594818187779565,0.17594818187779565,0.0,,,,0.17594818187779565,0.1740801842890994,-0.0018679975886962408,0.17594818187779565,0.17056976126018608,-0.0053784206176095695,,,,0.17594818187779565,0.20539984956727445,0.029451667689478794,,,,0.17594818187779565,0.2415976773623745,0.06564949548457885,0.17594818187779565,0.17594818187779565,0.0,0.17594818187779565,0.1077901979033382,-0.06815798397445745,0.17594818187779565,0.17422209522478768,-0.0017260866530079688,0.17594818187779565,0.24394083192647567,0.06799265004868002,0.17594818187779565,0.18954040830255714,0.013592226424761489,15
0,1,2,0,5,3,6,6,0,7,1.0,4.0,1.0,1.0,1.0,6.0,3.0,3.0,6.0,3.0,3.0,2.0,6.0,,,,0.8873275625244554,0.8677746992675323,-0.01955286325692318,0.8873275625244554,0.9391640533370097,0.05183649081255426,0.8873275625244554,0.8873275625244554,0.0,,,,,,,,,,0.8873275625244554,0.9009815019371481,0.013653939412692662,0.8873275625244554,0.7830468274127584,-0.104280735111697,0.8873275625244554,0.8225663344424188,-0.06476122808203666,0.8873275625244554,0.9128428214103919,0.02551525888593642,0.8873275625244554,0.822121789646946,-0.0652057728775094,0.8873275625244554,0.9067428466444976,0.01941528412004212,21
1,1,1,0,0,0,1,0,0,1,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,7.0,4.0,3.0,3.0,7.0,,,,0.9355780220614316,0.9263061290943987,-0.009271892967032902,0.9355780220614316,0.9382627520521227,0.002684729990691137,0.9355780220614316,0.9355780220614316,0.0,0.9355780220614316,0.9355780220614316,0.0,0.9355780220614316,0.9245331132717552,-0.011044908789676344,0.9355780220614316,0.9318193912175062,-0.003758630843925359,0.9355780220614316,0.9212733618538659,-0.014304660207565711,0.9355780220614316,0.8661896485245056,-0.06938837353692595,0.9355780220614316,0.9465610623772129,0.010983040315781345,0.9355780220614316,0.9204301296218781,-0.0151478924395535,0.9355780220614316,0.9283629707881222,-0.0072150512733093475,0.9355780220614316,0.8958108179765616,-0.03976720408487,11
4,0,0,0,0,0,4,1,0,0,2.0,5.0,3.0,2.0,2.0,7.0,4.0,4.0,8.0,4.0,4.0,3.0,8.0,0.7154234584522313,0.8470817616368884,0.1316583031846571,,,,0.7154234584522313,0.6966435637646572,-0.018779894687574128,0.7154234584522313,0.6586169213223741,-0.05680653712985717,0.7154234584522313,0.7154234584522313,0.0,0.7154234584522313,0.7777270811725563,0.06230362272032497,0.7154234584522313,0.8712870326034906,0.1558635741512593,0.7154234584522313,0.7154234584522313,0.0,,,,0.7154234584522313,0.6493948746888069,-0.06602858376342446,0.7154234584522313,0.638224073666672,-0.07719938478555932,0.7154234584522313,0.7128830397366389,-0.0025404187155924074,0.7154234584522313,0.7752435225734613,0.05982006412122998,15
