Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
1,0,2,0,0,0,5,1,0,1,1.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,,,,0.8536624,0.84657204,-0.00709033,0.8536624,0.8536624,0.0,0.8536624,0.8536624,0.0,0.8536624,0.8582247,0.0045623183,0.8536624,0.85422665,0.0005642772,0.8536624,0.9007719,0.047109544,0.8536624,0.8536624,0.0,0.8536624,0.8536624,0.0,0.8536624,0.87292457,0.019262195,0.8536624,0.76457167,-0.089090705,0.8536624,0.88642895,0.03276658,0.8536624,0.92923903,0.07557666,11
4,0,0,0,0,0,6,0,2,4,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,10.0,4.0,4.0,5.0,10.0,,,,0.98504686,0.9913858,0.006338954,0.98504686,0.98504686,0.0,0.98504686,0.98504686,0.0,,,,,,,,,,0.98504686,0.98504686,0.0,0.98504686,0.98504686,0.0,0.98504686,0.986678,0.0016311407,,,,,,,,,,2
4,0,0,0,0,0,3,1,0,3,1.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,,,,0.9280697,0.9621273,0.034057617,0.9280697,0.9280697,0.0,0.9280697,0.9280697,0.0,0.9280697,0.93401694,0.0059472322,0.9280697,0.9686866,0.04061687,0.9280697,0.9402675,0.0121977925,0.9280697,0.9280697,0.0,0.9280697,0.9280697,0.0,0.9280697,0.84600765,-0.082062066,0.9280697,0.96555805,0.03748834,0.9280697,0.9691603,0.041090608,0.9280697,0.9473549,0.019285202,23
2,1,0,0,1,1,7,4,2,4,1.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,10.0,4.0,4.0,5.0,10.0,,,,,,,0.9652165,0.9652165,0.0,0.9652165,0.9652165,0.0,,,,,,,,,,0.9652165,0.9652165,0.0,0.9652165,0.9652165,0.0,,,,,,,,,,,,,3
1,0,0,0,0,2,0,2,0,0,1.0,3.0,1.0,2.0,2.0,10.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,,,,0.76090914,0.7836759,0.022766769,0.76090914,0.76090914,0.0,0.76090914,0.76090914,0.0,,,,0.76090914,0.8006279,0.039718747,0.76090914,0.7342394,-0.02666974,0.76090914,0.76090914,0.0,0.76090914,0.76090914,0.0,0.76090914,0.69570076,-0.065208375,0.76090914,0.6534515,-0.10745764,0.76090914,0.68972355,-0.07118559,0.76090914,0.92445934,0.1635502,13
2,0,1,0,0,0,1,0,0,3,2.0,5.0,3.0,3.0,2.0,0.0,2.0,3.0,9.0,4.0,4.0,5.0,10.0,0.68240523,0.9275958,0.24519056,,,,0.68240523,0.68240523,0.0,0.68240523,0.68240523,0.0,0.68240523,0.7973351,0.114929855,0.68240523,0.88308483,0.2006796,0.68240523,0.7612961,0.07889086,0.68240523,0.68240523,0.0,0.68240523,0.68240523,0.0,,,,0.68240523,0.69347286,0.011067629,,,,,,,20
3,1,1,0,0,0,8,0,1,4,1.0,4.0,2.0,2.0,1.0,0.0,4.0,3.0,10.0,5.0,4.0,5.0,9.0,,,,0.98075956,0.9795719,-0.0011876822,,,,0.98075956,0.98075956,0.0,0.98075956,0.9831924,0.0024328232,0.98075956,0.9832803,0.00252074,,,,0.98075956,0.98075956,0.0,0.98075956,0.98075956,0.0,,,,,,,,,,0.98075956,0.9625848,-0.018174767,2
0,1,4,0,0,0,4,1,0,3,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,5.0,4.0,3.0,7.0,0.7271218,0.7693833,0.04226154,0.7271218,0.6690938,-0.058027983,,,,0.7271218,0.7271218,0.0,0.7271218,0.70222014,-0.024901628,0.7271218,0.8678739,0.14075214,0.7271218,0.7414062,0.014284432,0.7271218,0.7271218,0.0,0.7271218,0.7271218,0.0,0.7271218,0.7455253,0.01840353,0.7271218,0.86295086,0.13582909,0.7271218,0.69749796,-0.029623806,0.7271218,0.7446064,0.017484605,11
1,0,2,0,0,0,5,0,0,3,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,7.0,4.0,4.0,5.0,8.0,0.7000248,0.6316381,-0.068386674,,,,0.7000248,0.7000248,0.0,0.7000248,0.7000248,0.0,0.7000248,0.72792745,0.027902663,0.7000248,0.7500325,0.0500077,0.7000248,0.6524265,-0.047598302,0.7000248,0.7000248,0.0,0.7000248,0.7000248,0.0,0.7000248,0.42535508,-0.2746697,0.7000248,0.8695399,0.16951513,,,,0.7000248,0.3122822,-0.38774258,17
1,0,1,0,0,0,2,0,0,3,2.0,5.0,2.0,3.0,2.0,7.0,4.0,3.0,8.0,4.0,4.0,3.0,8.0,0.7808733,0.9006465,0.11977321,,,,0.7808733,0.7808733,0.0,0.7808733,0.7808733,0.0,0.7808733,0.7766725,-0.004200816,0.7808733,0.9054968,0.12462348,0.7808733,0.8039827,0.023109376,0.7808733,0.7808733,0.0,0.7808733,0.7808733,0.0,0.7808733,0.7989595,0.018086195,0.7808733,0.717474,-0.063399315,0.7808733,0.67738473,-0.103488564,0.7808733,0.7108138,-0.07005948,20
1,1,2,0,0,2,6,1,0,7,2.0,1.0,4.0,4.0,4.0,8.0,3.0,3.0,4.0,3.0,4.0,2.0,6.0,0.43106842,0.9424425,0.51137406,0.43106842,0.16632052,-0.26474792,0.43106842,0.43106842,0.0,0.43106842,0.43106842,0.0,0.43106842,0.5225363,0.09146786,0.43106842,0.5435781,0.11250967,0.43106842,0.53440046,0.10333204,0.43106842,0.43106842,0.0,0.43106842,0.43106842,0.0,0.43106842,0.56682473,0.13575631,0.43106842,0.6317461,0.2006777,0.43106842,0.5285552,0.097486794,0.43106842,0.59976506,0.16869664,25
0,0,2,0,0,0,6,7,0,0,1.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,9.0,4.0,4.0,3.0,8.0,,,,0.98021597,0.98700154,0.0067855716,0.98021597,0.98021597,0.0,0.98021597,0.98021597,0.0,,,,0.98021597,0.9785372,-0.0016787648,0.98021597,0.9829778,0.0027618408,0.98021597,0.98021597,0.0,0.98021597,0.98021597,0.0,0.98021597,0.9969344,0.016718447,0.98021597,0.98145294,0.0012369752,0.98021597,0.987422,0.0072060227,0.98021597,0.9266398,-0.05357617,26
1,0,5,0,0,0,2,0,0,8,1.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,10.0,5.0,5.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,0.9971245,0.9971245,0.0,0.9971245,0.9971245,0.0,,,,,,,0.9971245,0.9969909,-0.00013357401,0.9971245,0.99402916,-0.0030953288,11
5,0,0,0,0,0,3,1,0,3,3.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,3.0,5.0,5.0,0.803085,0.8900263,0.08694124,0.803085,0.8426353,0.039550245,0.803085,0.803085,0.0,0.803085,0.803085,0.0,0.803085,0.8128095,0.009724498,0.803085,0.8686279,0.06554288,0.803085,0.8643261,0.06124109,0.803085,0.803085,0.0,0.803085,0.803085,0.0,0.803085,0.62821877,-0.17486626,0.803085,0.7736667,-0.02941835,,,,0.803085,0.8027532,-0.00033181906,7
3,1,2,0,0,0,9,0,2,8,1.0,4.0,3.0,2.0,2.0,0.0,3.0,3.0,10.0,4.0,4.0,4.0,8.0,,,,0.87178147,0.8921016,0.020320117,0.87178147,0.87178147,0.0,0.87178147,0.87178147,0.0,0.87178147,0.90511096,0.033329487,0.87178147,0.8888663,0.017084837,0.87178147,0.90970224,0.037920773,0.87178147,0.87178147,0.0,0.87178147,0.87178147,0.0,,,,,,,0.87178147,0.8909744,0.019192934,0.87178147,0.620317,-0.2514645,2
4,1,0,0,1,3,7,0,0,5,1.0,5.0,1.0,1.0,1.0,7.0,5.0,4.0,7.0,5.0,5.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83223826,0.9078559,0.07561767,0.83223826,0.8466467,0.014408469,0.83223826,0.8436405,0.011402249,0.83223826,0.86462826,0.03239,12
4,1,3,0,0,1,1,0,0,3,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,4.0,4.0,4.0,8.0,0.90826654,0.9482256,0.039959073,0.90826654,0.922741,0.014474452,0.90826654,0.90826654,0.0,0.90826654,0.90826654,0.0,0.90826654,0.89598984,-0.012276709,0.90826654,0.9575585,0.04929197,0.90826654,0.9210727,0.012806177,0.90826654,0.90826654,0.0,0.90826654,0.90826654,0.0,0.90826654,0.6050383,-0.30322826,0.90826654,0.9448674,0.03660083,0.90826654,0.9154389,0.007172346,0.90826654,0.81068486,-0.097581685,6
1,0,3,0,2,2,3,1,0,7,2.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,9.0,4.0,4.0,4.0,7.0,0.73319423,0.8981187,0.16492444,0.73319423,0.67066586,-0.06252837,0.73319423,0.73319423,0.0,0.73319423,0.73319423,0.0,0.73319423,0.6899886,-0.04320562,0.73319423,0.8500626,0.11686838,0.73319423,0.71384144,-0.019352794,0.73319423,0.73319423,0.0,0.73319423,0.73319423,0.0,,,,0.73319423,0.6484867,-0.08470756,0.73319423,0.81997716,0.08678293,0.73319423,0.7439518,0.0107575655,25
